date,vehicle_total
2023-01-01,181093
2023-01-02,280210
2023-01-03,303002
2023-01-04,298733
2023-01-05,313717
2023-01-06,316730
2023-01-07,275900
2023-01-08,227503
2023-01-09,323891
2023-01-10,350861
2023-01-11,352112
2023-01-12,349215
2023-01-13,352990
2023-01-14,276682
2023-01-15,227433
2023-01-16,335110
2023-01-17,373160
2023-01-18,363531
2023-01-19,346496
2023-01-20,349080
2023-01-21,279706
2023-01-22,224594
2023-01-23,343667
2023-01-24,369057
2023-01-25,369750
2023-01-26,358652
2023-01-27,366507
2023-01-28,296993
2023-01-29,247973
2023-01-30,324493
2023-01-31,342885
2023-02-01,368113
2023-02-02,363275
2023-02-03,363884
2023-02-04,293565
2023-02-05,235321
2023-02-06,349272
2023-02-07,358950
2023-02-08,363471
2023-02-09,363303
2023-02-10,367091
2023-02-11,284251
2023-02-12,236504
2023-02-13,348872
2023-02-14,378060
2023-02-15,381049
2023-02-16,346846
2023-02-17,348040
2023-02-18,258493
2023-02-19,211423
2023-02-20,278749
2023-02-21,353346
2023-02-22,364439
2023-02-23,369255
2023-02-24,381597
2023-02-25,313342
2023-02-26,257380
2023-02-27,354426
2023-02-28,376162
2023-03-01,381486
2023-03-02,379217
2023-03-03,385281
2023-03-04,315019
2023-03-05,251914
2023-03-06,348454
2023-03-07,356678
2023-03-08,345149
2023-03-09,378742
2023-03-10,371806
2023-03-11,333442
2023-03-12,264474
2023-03-13,357392
2023-03-14,368848
2023-03-15,378690
2023-03-16,382146
2023-03-17,379574
2023-03-18,313894
2023-03-19,265731
2023-03-20,365270
2023-03-21,382811
2023-03-22,379463
2023-03-23,372497
2023-03-24,373637
2023-03-25,288460
2023-03-26,235818
2023-03-27,333236
2023-03-28,385320
2023-03-29,386673
2023-03-30,388530
2023-03-31,387726
2023-04-01,303793
2023-04-02,264480
2023-04-03,362541
2023-04-04,366176
2023-04-05,381382
2023-04-06,384314
2023-04-07,239308
2023-04-08,263443
2023-04-09,260752
2023-04-10,270010
2023-04-11,357618
2023-04-12,356331
2023-04-13,375857
2023-04-14,385058
2023-04-15,308681
2023-04-16,263741
2023-04-17,369349
2023-04-18,384605
2023-04-19,391695
2023-04-20,388880
2023-04-21,401559
2023-04-22,312485
2023-04-23,280272
2023-04-24,365234
2023-04-25,385068
2023-04-26,400834
2023-04-27,403011
2023-04-28,402208
2023-04-29,331125
2023-04-30,292109
2023-05-01,265809
2023-05-02,389287
2023-05-03,399393
2023-05-04,404711
2023-05-05,400518
2023-05-06,322872
2023-05-07,275770
2023-05-08,384121
2023-05-09,385152
2023-05-10,395185
2023-05-11,394201
2023-05-12,395987
2023-05-13,334255
2023-05-14,316288
2023-05-15,379933
2023-05-16,389011
2023-05-17,413030
2023-05-18,264861
2023-05-19,332267
2023-05-20,297360
2023-05-21,296420
2023-05-22,374517
2023-05-23,389399
2023-05-24,394359
2023-05-25,400267
2023-05-26,389226
2023-05-27,304274
2023-05-28,265542
2023-05-29,261023
2023-05-30,380733
2023-05-31,382999
2023-06-01,386950
2023-06-02,380887
2023-06-03,278259
2023-06-04,262940
2023-06-05,375224
2023-06-06,386872
2023-06-07,400050
2023-06-08,256627
2023-06-09,351786
2023-06-10,299960
2023-06-11,291133
2023-06-12,374904
2023-06-13,381389
2023-06-14,385958
2023-06-15,398207
2023-06-16,387589
2023-06-17,309128
2023-06-18,278104
2023-06-19,373098
2023-06-20,387611
2023-06-21,401558
2023-06-22,377339
2023-06-23,392434
2023-06-24,306705
2023-06-25,272486
2023-06-26,363607
2023-06-27,374694
2023-06-28,391557
2023-06-29,392547
2023-06-30,387028
2023-07-01,301267
2023-07-02,275753
2023-07-03,348125
2023-07-04,355121
2023-07-05,353236
2023-07-06,361770
2023-07-07,348369
2023-07-08,272279
2023-07-09,238128
2023-07-10,317799
2023-07-11,325005
2023-07-12,335244
2023-07-13,336698
2023-07-14,330451
2023-07-15,271632
2023-07-16,250541
2023-07-17,334802
2023-07-18,326355
2023-07-19,331206
2023-07-20,332796
2023-07-21,341181
2023-07-22,286126
2023-07-23,246514
2023-07-24,314777
2023-07-25,330016
2023-07-26,332169
2023-07-27,325850
2023-07-28,341899
2023-07-29,284859
2023-07-30,264433
2023-07-31,341530
2023-08-01,353604
2023-08-02,366402
2023-08-03,371878
2023-08-04,379808
2023-08-05,314830
2023-08-06,272579
2023-08-07,365072
2023-08-08,375304
2023-08-09,384911
2023-08-10,387981
2023-08-11,388284
2023-08-12,299980
2023-08-13,287972
2023-08-14,360271
2023-08-15,374827
2023-08-16,379543
2023-08-17,384861
2023-08-18,395783
2023-08-19,326798
2023-08-20,301079
2023-08-21,358344
2023-08-22,369644
2023-08-23,379979
2023-08-24,384386
2023-08-25,387840
2023-08-26,355100
2023-08-27,314361
2023-08-28,366397
2023-08-29,379611
2023-08-30,377304
2023-08-31,391035
2023-09-01,386978
2023-09-02,337252
2023-09-03,301339
2023-09-04,362094
2023-09-05,365661
2023-09-06,374623
2023-09-07,380750
2023-09-08,380666
2023-09-09,303723
2023-09-10,281811
2023-09-11,361061
2023-09-12,365957
2023-09-13,380613
2023-09-14,384446
2023-09-15,387860
2023-09-16,323536
2023-09-17,292889
2023-09-18,360780
2023-09-19,372166
2023-09-20,377938
2023-09-21,373618
2023-09-22,380783
2023-09-23,305331
2023-09-24,291763
2023-09-25,354926
2023-09-26,373839
2023-09-27,381979
2023-09-28,388493
2023-09-29,390757
2023-09-30,327553
2023-10-01,283393
2023-10-02,329036
2023-10-03,238565
2023-10-04,372754
