date,vehicle_total
2008-01-01,233460
2008-01-02,463489
2008-01-03,481505
2008-01-04,501457
2008-01-05,344715
2008-01-06,292534
2008-01-07,542832
2008-01-08,558752
2008-01-09,576377
2008-01-10,588078
2008-01-11,606052
2008-01-12,376444
2008-01-13,318772
2008-01-14,579043
2008-01-15,584256
2008-01-16,597775
2008-01-17,606193
2008-01-18,617672
2008-01-19,404371
2008-01-20,326882
2008-01-21,583789
2008-01-22,602829
2008-01-23,610715
2008-01-24,609072
2008-01-25,636791
2008-01-26,427431
2008-01-27,336597
2008-01-28,589045
2008-01-29,598549
2008-01-30,602592
2008-01-31,552757
2008-02-01,575902
2008-02-02,325324
2008-02-03,281420
2008-02-04,350573
2008-02-05,548074
2008-02-06,578935
2008-02-07,603791
2008-02-08,622449
2008-02-09,432389
2008-02-10,376520
2008-02-11,591705
2008-02-12,602189
2008-02-13,600507
2008-02-14,608587
2008-02-15,629499
2008-02-16,413501
2008-02-17,350869
2008-02-18,586064
2008-02-19,609053
2008-02-20,604000
2008-02-21,614092
2008-02-22,645012
2008-02-23,436735
2008-02-24,357797
2008-02-25,597224
2008-02-26,600746
2008-02-27,621583
2008-02-28,613081
2008-02-29,641740
2008-03-01,428139
2008-03-02,356992
2008-03-03,586060
2008-03-04,596524
2008-03-05,613950
2008-03-06,616600
2008-03-07,644311
2008-03-08,449345
2008-03-09,362278
2008-03-10,609300
2008-03-11,608470
2008-03-12,604323
2008-03-13,624370
2008-03-14,655039
2008-03-15,446341
2008-03-16,340013
2008-03-17,591760
2008-03-18,586173
2008-03-19,591080
2008-03-20,584860
2008-03-21,290634
2008-03-22,332106
2008-03-23,318260
2008-03-24,304451
2008-03-25,536983
2008-03-26,556197
2008-03-27,583880
2008-03-28,604312
2008-03-29,430441
2008-03-30,362288
2008-03-31,612490
2008-04-01,620110
2008-04-02,626803
2008-04-03,628958
2008-04-04,660862
2008-04-05,416235
2008-04-06,349168
2008-04-07,608165
2008-04-08,621607
2008-04-09,626334
2008-04-10,630892
2008-04-11,651563
2008-04-12,432501
2008-04-13,368488
2008-04-14,592645
2008-04-15,620139
2008-04-16,624413
2008-04-17,630049
2008-04-18,644517
2008-04-19,417971
2008-04-20,382467
2008-04-21,604256
2008-04-22,609583
2008-04-23,626209
2008-04-24,630798
2008-04-25,660457
2008-04-26,438302
2008-04-27,395240
2008-04-28,613685
2008-04-29,634713
2008-04-30,672301
2008-05-01,333730
2008-05-02,519673
2008-05-03,419290
2008-05-04,399328
2008-05-05,610088
2008-05-06,614357
2008-05-07,625633
2008-05-08,628700
2008-05-09,654473
2008-05-10,424242
2008-05-11,368042
2008-05-12,351428
2008-05-13,612747
2008-05-14,621478
2008-05-15,610374
2008-05-16,643520
2008-05-17,408127
2008-05-18,357729
2008-05-19,607360
2008-05-20,619188
2008-05-21,660597
2008-05-22,345863
2008-05-23,548173
2008-05-24,413620
2008-05-25,374200
2008-05-26,602573
2008-05-27,617007
2008-05-28,626282
2008-05-29,633128
2008-05-30,657975
2008-05-31,448150
2008-06-01,389801
2008-06-02,602267
2008-06-03,615469
2008-06-04,625618
2008-06-05,624310
2008-06-06,654178
2008-06-07,425408
2008-06-08,388586
2008-06-09,610293
2008-06-10,617905
2008-06-11,627845
2008-06-12,599487
2008-06-13,631890
2008-06-14,420913
2008-06-15,371623
2008-06-16,614830
2008-06-17,618042
2008-06-18,633650
2008-06-19,619667
2008-06-20,628423
2008-06-21,413390
2008-06-22,369229
2008-06-23,613624
2008-06-24,618781
2008-06-25,613125
2008-06-26,622833
2008-06-27,627619
2008-06-28,419056
2008-06-29,354353
2008-06-30,587975
2008-07-01,584637
2008-07-02,583432
2008-07-03,591682
2008-07-04,612947
2008-07-05,396180
2008-07-06,363911
2008-07-07,563930
2008-07-08,570158
2008-07-09,579714
2008-07-10,586824
2008-07-11,600430
2008-07-12,397802
2008-07-13,373467
2008-07-14,580157
2008-07-15,576280
2008-07-16,585973
2008-07-17,591705
2008-07-18,618154
2008-07-19,412086
2008-07-20,358125
2008-07-21,561767
2008-07-22,565899
2008-07-23,579882
2008-07-24,587804
2008-07-25,598354
2008-07-26,398297
2008-07-27,374796
2008-07-28,566572
2008-07-29,575575
2008-07-30,578927
2008-07-31,589140
2008-08-01,604317
2008-08-02,427735
2008-08-03,388125
2008-08-04,602148
2008-08-05,593680
2008-08-06,604827
2008-08-07,605461
2008-08-08,617596
2008-08-09,437063
2008-08-10,366342
2008-08-11,607720
2008-08-12,603594
2008-08-13,615038
2008-08-14,624988
2008-08-15,641885
2008-08-16,439137
2008-08-17,397160
2008-08-18,595828
2008-08-19,602770
2008-08-20,614216
2008-08-21,617844
2008-08-22,627803
2008-08-23,423248
2008-08-24,384905
2008-08-25,596947
2008-08-26,607168
2008-08-27,622225
2008-08-28,627365
2008-08-29,652812
2008-08-30,456783
2008-08-31,408377
2008-09-01,606269
2008-09-02,613677
2008-09-03,622879
2008-09-04,637964
2008-09-05,660633
2008-09-06,445243
2008-09-07,383685
2008-09-08,600334
2008-09-09,612718
2008-09-10,619318
2008-09-11,625560
2008-09-12,628003
2008-09-13,433220
2008-09-14,393506
2008-09-15,601803
2008-09-16,606399
2008-09-17,618859
2008-09-18,626071
2008-09-19,644335
2008-09-20,439854
2008-09-21,381228
2008-09-22,613891
2008-09-23,618426
2008-09-24,634907
2008-09-25,642111
2008-09-26,655729
2008-09-27,442257
2008-09-28,384302
2008-09-29,599218
2008-09-30,593993
2008-10-01,598348
2008-10-02,619520
2008-10-03,354227
2008-10-04,392883
2008-10-05,352631
2008-10-06,580071
2008-10-07,596317
2008-10-08,599949
2008-10-09,622563
2008-10-10,636673
2008-10-11,440580
2008-10-12,383612
2008-10-13,608834
2008-10-14,617778
2008-10-15,625855
2008-10-16,629738
2008-10-17,658971
2008-10-18,465884
2008-10-19,402831
2008-10-20,610696
2008-10-21,608606
2008-10-22,627779
2008-10-23,636715
2008-10-24,645968
2008-10-25,439073
2008-10-26,378218
2008-10-27,597577
2008-10-28,607804
2008-10-29,627080
2008-10-30,623958
2008-10-31,642069
2008-11-01,345200
2008-11-02,379983
2008-11-03,596567
2008-11-04,602917
2008-11-05,619044
2008-11-06,622717
2008-11-07,636793
2008-11-08,424047
2008-11-09,352653
2008-11-10,589544
2008-11-11,584628
2008-11-12,610843
