TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4907;5007;05;A;  59;120101; 7;s;01;  106;-;  100;-;    0;-;    0;-;  106;-;  103;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  100;-;   96;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;02;  355;-;  293;-;    0;-;    0;-;  354;-;  345;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  293;-;  284;-;    8;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;03;  324;-;  312;-;    1;-;    1;-;  322;-;  315;-;    7;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    1;-;  311;-;  303;-;    7;-;    1;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;04;  224;-;  214;-;    2;-;    1;-;  220;-;  213;-;    7;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    2;-;  213;-;  205;-;    8;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;05;  170;-;  170;-;    0;-;    0;-;  168;-;  157;-;   11;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    1;-;  167;-;  162;-;    5;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    2;-
4907;5007;05;A;  59;120101; 7;s;06;  135;-;  134;-;    0;-;    1;-;  134;-;  128;-;    6;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  132;-;  128;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-
4907;5007;05;A;  59;120101; 7;s;07;  116;-;   99;-;    1;-;    0;-;  113;-;  108;-;    5;-;    0;-;    1;-;    0;-;    1;-;    0;-;    0;-;    1;-;   99;-;   95;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;08;   52;-;   70;-;    2;-;    1;-;   50;-;   48;-;    2;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;   69;-;   67;-;    2;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;09;   52;-;   72;-;    0;-;    2;-;   52;-;   51;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   70;-;   65;-;    5;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;120101; 7;s;10;   91;-;  116;-;    0;-;    3;-;   91;-;   84;-;    7;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  113;-;  104;-;    9;-;    0;-;    0;-;    1;-;    2;-;    0;-;    0;-;    0;-
