TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4807;5090;05;A;  59;170101; 7;s;01;  122;-;  155;-;    0;-;    2;-;  122;-;  117;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  152;-;  148;-;    4;-;    0;-;    1;-;    0;-;    1;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;170101; 7;s;02;  367;-;  352;-;    0;-;    1;-;  367;-;  361;-;    5;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  351;-;  340;-;   10;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;170101; 7;s;03;  364;-;  371;-;    1;-;    0;-;  362;-;  352;-;    8;-;    2;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;  370;-;  361;-;    9;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;170101; 7;s;04;  247;-;  259;-;    1;-;    2;-;  245;-;  232;-;    7;-;    6;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;  257;-;  244;-;   12;-;    1;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;170101; 7;s;05;  156;-;  156;-;    0;-;    1;-;  155;-;  147;-;    6;-;    2;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;  155;-;  145;-;   10;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;170101; 7;s;06;  109;-;  122;-;    1;-;    0;-;  107;-;  100;-;    6;-;    1;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;  122;-;  117;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;170101; 7;s;07;   87;-;  104;-;    2;-;    4;-;   85;-;   83;-;    1;-;    1;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  100;-;   98;-;    2;-;    0;-;    0;-;    1;-;    2;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;170101; 7;s;08;   63;-;   75;-;    2;-;    4;-;   60;-;   59;-;    1;-;    0;-;    1;-;    1;-;    0;-;    1;-;    1;-;    0;-;   71;-;   66;-;    5;-;    0;-;    0;-;    4;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;170101; 7;s;09;   69;-;   89;-;    1;-;    9;-;   68;-;   65;-;    3;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;   80;-;   76;-;    4;-;    0;-;    0;-;    7;-;    1;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;170101; 7;s;10;  116;-;  124;-;    3;-;    3;-;  113;-;  110;-;    2;-;    1;-;    0;-;    3;-;    0;-;    0;-;    0;-;    0;-;  121;-;  112;-;    8;-;    1;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-
