TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4907;5007;05;A;  59;060101; 7;s;01;  110;-;  118;-;    0;-;    0;-;  109;-;  102;-;    7;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  118;-;  107;-;   11;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;02;  265;-;  221;-;    2;-;    1;-;  263;-;  257;-;    6;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;  219;-;  212;-;    7;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;03;  333;-;  255;-;    3;-;    4;-;  330;-;  322;-;    8;-;    0;-;    0;-;    1;-;    2;-;    0;-;    0;-;    0;-;  251;-;  249;-;    2;-;    0;-;    0;-;    0;-;    2;-;    2;-;    1;-;    0;-
4907;5007;05;A;  59;060101; 7;s;04;  216;-;  177;-;    0;-;    0;-;  216;-;  214;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  177;-;  172;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;05;  146;-;  163;-;    1;-;    2;-;  145;-;  141;-;    4;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  159;-;  152;-;    7;-;    0;-;    1;-;    1;-;    1;-;    0;-;    0;-;    1;-
4907;5007;05;A;  59;060101; 7;s;06;  154;-;  135;-;    1;-;    0;-;  153;-;  147;-;    6;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;  135;-;  130;-;    4;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;07;   88;-;   86;-;    0;-;    1;-;   88;-;   83;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   85;-;   81;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;060101; 7;s;08;   47;-;   64;-;    0;-;    2;-;   47;-;   44;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   62;-;   60;-;    2;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;09;   64;-;   92;-;    2;-;    3;-;   62;-;   56;-;    5;-;    1;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-;   88;-;   78;-;   10;-;    0;-;    0;-;    2;-;    0;-;    1;-;    1;-;    1;-
4907;5007;05;A;  59;060101; 7;s;10;   84;-;  137;-;    2;-;    1;-;   81;-;   78;-;    3;-;    0;-;    1;-;    1;-;    0;-;    1;-;    0;-;    0;-;  135;-;  122;-;   13;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    1;-
4907;5007;05;A;  59;060101; 7;s;11;  175;-;  233;-;    4;-;    0;-;  168;-;  155;-;   12;-;    1;-;    2;-;    1;-;    0;-;    3;-;    3;-;    1;-;  233;-;  219;-;   14;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;060101; 7;s;12;  313;-;  396;-;    3;-;    4;-;  310;-;  290;-;   20;-;    0;-;    0;-;    0;-;    3;-;    0;-;    0;-;    0;-;  391;-;  378;-;   12;-;    1;-;    0;-;    2;-;    1;-;    1;-;    1;-;    1;-
4907;5007;05;A;  59;060101; 7;s;13;  501;-;  582;-;    3;-;    4;-;  498;-;  473;-;   23;-;    2;-;    0;-;    2;-;    1;-;    0;-;    0;-;    0;-;  573;-;  555;-;   17;-;    1;-;    2;-;    1;-;    1;-;    2;-;    1;-;    3;-
4907;5007;05;A;  59;060101; 7;s;14;  705;-;  712;-;    4;-;    4;-;  698;-;  652;-;   43;-;    3;-;    1;-;    1;-;    2;-;    1;-;    1;-;    2;-;  708;-;  672;-;   32;-;    4;-;    0;-;    1;-;    1;-;    2;-;    2;-;    0;-
4907;5007;05;A;  59;060101; 7;s;15;  800;-;  788;-;    7;-;    2;-;  790;-;  743;-;   40;-;    7;-;    2;-;    0;-;    3;-;    4;-;    4;-;    1;-;  784;-;  741;-;   39;-;    4;-;    1;-;    0;-;    2;-;    0;-;    0;-;    1;-
4907;5007;05;A;  59;060101; 7;s;16;  921;-;  795;-;    7;-;    6;-;  910;-;  851;-;   55;-;    4;-;    1;-;    2;-;    5;-;    0;-;    0;-;    3;-;  784;-;  748;-;   35;-;    1;-;    2;-;    0;-;    5;-;    1;-;    1;-;    3;-
4907;5007;05;A;  59;060101; 7;s;17;  872;-;  753;-;    5;-;    8;-;  859;-;  788;-;   66;-;    5;-;    1;-;    2;-;    3;-;    0;-;    0;-;    7;-;  743;-;  699;-;   41;-;    3;-;    0;-;    0;-;    4;-;    4;-;    3;-;    2;-
4907;5007;05;A;  59;060101; 7;s;18;  883;-;  671;-;    4;-;    6;-;  873;-;  826;-;   45;-;    2;-;    5;-;    0;-;    1;-;    3;-;    3;-;    1;-;  662;-;  632;-;   27;-;    3;-;    0;-;    1;-;    2;-;    3;-;    1;-;    3;-
4907;5007;05;A;  59;060101; 7;s;19;  769;-;  483;-;    6;-;    6;-;  755;-;  707;-;   47;-;    1;-;    2;-;    1;-;    3;-;    2;-;    1;-;    6;-;  476;-;  449;-;   26;-;    1;-;    0;-;    1;-;    3;-;    2;-;    2;-;    1;-
4907;5007;05;A;  59;060101; 7;s;20;  550;-;  445;-;    4;-;    5;-;  539;-;  509;-;   30;-;    0;-;    2;-;    3;-;    0;-;    1;-;    0;-;    5;-;  438;-;  412;-;   25;-;    1;-;    2;-;    1;-;    1;-;    3;-;    3;-;    0;-
4907;5007;05;A;  59;060101; 7;s;21;  427;-;  288;-;    6;-;    2;-;  417;-;  384;-;   33;-;    0;-;    2;-;    0;-;    2;-;    4;-;    4;-;    2;-;  285;-;  272;-;   13;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    1;-
4907;5007;05;A;  59;060101; 7;s;22;  300;-;  230;-;   10;-;    5;-;  289;-;  264;-;   24;-;    1;-;    0;-;    0;-;    4;-;    6;-;    6;-;    1;-;  225;-;  214;-;   11;-;    0;-;    0;-;    1;-;    0;-;    4;-;    3;-;    0;-
