date,diesel,e5,e10
2014-12-31,1.175,1.323,1.287
2014-12-30,1.173,1.322,1.282
2014-12-29,1.18,1.328,1.288
2014-12-28,1.201,1.345,1.305
2014-12-27,1.191,1.338,1.298
2014-12-26,1.201,1.347,1.307
2014-12-25,1.213,1.353,1.314
2014-12-24,1.191,1.334,1.295
2014-12-23,1.187,1.333,1.293
2014-12-22,1.189,1.337,1.297
2014-12-21,1.205,1.357,1.317
2014-12-20,1.189,1.338,1.299
2014-12-19,1.186,1.337,1.297
2014-12-18,1.187,1.335,1.295
2014-12-17,1.189,1.34,1.301
2014-12-16,1.199,1.349,1.309
2014-12-15,1.218,1.364,1.324
2014-12-14,1.221,1.366,1.327
2014-12-13,1.204,1.355,1.316
2014-12-12,1.214,1.368,1.329
2014-12-11,1.216,1.382,1.343
2014-12-10,1.223,1.378,1.339
2014-12-09,1.226,1.374,1.335
2014-12-08,1.237,1.392,1.353
2014-12-07,1.24,1.403,1.364
2014-12-06,1.232,1.388,1.348
2014-12-05,1.25,1.404,1.365
2014-12-04,1.255,1.408,1.369
2014-12-03,1.255,1.414,1.374
2014-12-02,1.252,1.425,1.386
2014-12-01,1.284,1.455,1.416
2014-11-30,1.284,1.449,1.409
2014-11-29,1.271,1.441,1.401
2014-11-28,1.289,1.461,1.421
2014-11-27,1.291,1.465,1.425
2014-11-26,1.309,1.481,1.442
2014-11-25,1.311,1.483,1.444
2014-11-24,1.311,1.479,1.439
2014-11-23,1.307,1.474,1.435
2014-11-22,1.306,1.477,1.438
2014-11-21,1.299,1.471,1.431
2014-11-20,1.292,1.464,1.424
2014-11-19,1.299,1.471,1.431
2014-11-18,1.307,1.472,1.433
2014-11-17,1.317,1.481,1.441
2014-11-16,1.329,1.492,1.452
2014-11-15,1.32,1.483,1.443
2014-11-14,1.321,1.484,1.444
2014-11-13,1.326,1.49,1.451
2014-11-12,1.337,1.498,1.459
2014-11-11,1.347,1.507,1.467
2014-11-10,1.344,1.498,1.458
2014-11-09,1.333,1.493,1.453
2014-11-08,1.338,1.494,1.454
2014-11-07,1.334,1.496,1.456
2014-11-06,1.339,1.502,1.462
2014-11-05,1.333,1.497,1.458
2014-11-04,1.34,1.499,1.459
2014-11-03,1.34,1.506,1.466
2014-11-02,1.337,1.505,1.465
2014-11-01,1.335,1.503,1.464
2014-10-31,1.334,1.502,1.462
2014-10-30,1.33,1.5,1.46
2014-10-29,1.322,1.493,1.453
2014-10-28,1.325,1.498,1.459
2014-10-27,1.322,1.496,1.456
2014-10-26,1.336,1.508,1.469
