date,diesel,e5,e10
2019-12-31,1.324,1.451,1.431
2019-12-30,1.32,1.453,1.433
2019-12-29,1.311,1.444,1.424
2019-12-28,1.315,1.44,1.42
2019-12-27,1.31,1.437,1.417
2019-12-26,1.29,1.416,1.396
2019-12-25,1.298,1.427,1.407
2019-12-24,1.289,1.414,1.394
2019-12-23,1.293,1.424,1.404
2019-12-22,1.293,1.425,1.405
2019-12-21,1.29,1.423,1.403
2019-12-20,1.293,1.422,1.402
2019-12-19,1.266,1.396,1.376
2019-12-18,1.278,1.408,1.389
2019-12-17,1.267,1.402,1.382
2019-12-16,1.263,1.406,1.386
2019-12-15,1.254,1.395,1.375
2019-12-14,1.256,1.396,1.376
2019-12-13,1.254,1.398,1.378
2019-12-12,1.256,1.399,1.379
2019-12-11,1.25,1.391,1.371
2019-12-10,1.248,1.397,1.377
2019-12-09,1.25,1.397,1.377
2019-12-08,1.25,1.392,1.372
2019-12-07,1.25,1.393,1.373
2019-12-06,1.246,1.395,1.375
2019-12-05,1.24,1.396,1.376
2019-12-04,1.242,1.393,1.373
2019-12-03,1.249,1.4,1.38
2019-12-02,1.254,1.407,1.387
2019-12-01,1.245,1.401,1.381
2019-11-30,1.249,1.406,1.386
2019-11-29,1.259,1.411,1.391
2019-11-28,1.259,1.41,1.39
2019-11-27,1.256,1.409,1.389
2019-11-26,1.252,1.406,1.386
2019-11-25,1.253,1.411,1.391
2019-11-24,1.25,1.407,1.387
2019-11-23,1.245,1.4,1.38
2019-11-22,1.247,1.402,1.382
2019-11-21,1.245,1.396,1.376
2019-11-20,1.243,1.39,1.37
2019-11-19,1.247,1.394,1.374
2019-11-18,1.247,1.397,1.377
2019-11-17,1.25,1.4,1.38
2019-11-16,1.239,1.389,1.369
2019-11-15,1.249,1.401,1.381
2019-11-14,1.249,1.403,1.383
2019-11-13,1.251,1.405,1.385
2019-11-12,1.251,1.407,1.387
2019-11-11,1.254,1.41,1.39
2019-11-10,1.25,1.407,1.387
2019-11-09,1.246,1.406,1.386
2019-11-08,1.255,1.413,1.393
2019-11-07,1.254,1.415,1.395
2019-11-06,1.252,1.414,1.394
2019-11-05,1.248,1.407,1.387
2019-11-04,1.254,1.402,1.382
2019-11-03,1.254,1.399,1.379
2019-11-02,1.247,1.394,1.374
2019-11-01,1.254,1.398,1.378
2019-10-31,1.25,1.393,1.373
2019-10-30,1.256,1.394,1.374
2019-10-29,1.252,1.39,1.371
2019-10-28,1.256,1.398,1.378
2019-10-27,1.257,1.393,1.374
2019-10-26,1.245,1.378,1.359
2019-10-25,1.251,1.386,1.366
2019-10-24,1.25,1.383,1.363
2019-10-23,1.245,1.383,1.364
2019-10-22,1.246,1.386,1.366
2019-10-21,1.248,1.391,1.371
2019-10-20,1.253,1.391,1.371
2019-10-19,1.245,1.384,1.364
2019-10-18,1.251,1.388,1.368
2019-10-17,1.254,1.387,1.367
2019-10-16,1.252,1.391,1.371
2019-10-15,1.249,1.391,1.371
2019-10-14,1.254,1.4,1.38
2019-10-13,1.265,1.411,1.391
2019-10-12,1.253,1.398,1.378
2019-10-11,1.255,1.4,1.38
2019-10-10,1.256,1.406,1.387
2019-10-09,1.248,1.404,1.384
2019-10-08,1.252,1.411,1.391
2019-10-07,1.252,1.409,1.389
2019-10-06,1.265,1.415,1.395
2019-10-05,1.26,1.41,1.39
2019-10-04,1.26,1.407,1.387
2019-10-03,1.257,1.404,1.384
2019-10-02,1.254,1.4,1.38
2019-10-01,1.26,1.406,1.386
2019-09-30,1.263,1.407,1.387
2019-09-29,1.268,1.408,1.388
2019-09-28,1.257,1.397,1.377
2019-09-27,1.259,1.403,1.383
2019-09-26,1.259,1.403,1.383
2019-09-25,1.267,1.41,1.39
2019-09-24,1.267,1.408,1.388
2019-09-23,1.265,1.408,1.388
2019-09-22,1.271,1.416,1.396
2019-09-21,1.27,1.411,1.391
2019-09-20,1.267,1.421,1.401
2019-09-19,1.281,1.43,1.41
2019-09-18,1.291,1.443,1.423
2019-09-17,1.287,1.44,1.42
2019-09-16,1.258,1.408,1.388
2019-09-15,1.245,1.397,1.377
2019-09-14,1.24,1.39,1.37
2019-09-13,1.245,1.394,1.374
2019-09-12,1.25,1.394,1.374
2019-09-11,1.252,1.407,1.387
2019-09-10,1.253,1.408,1.388
2019-09-09,1.242,1.396,1.376
2019-09-08,1.243,1.398,1.378
2019-09-07,1.237,1.392,1.372
2019-09-06,1.245,1.407,1.387
2019-09-05,1.234,1.396,1.377
2019-09-04,1.229,1.398,1.378
2019-09-03,1.23,1.398,1.378
2019-09-02,1.23,1.4,1.38
2019-09-01,1.231,1.405,1.385
2019-08-31,1.231,1.399,1.379
2019-08-30,1.232,1.404,1.384
2019-08-29,1.227,1.405,1.385
2019-08-28,1.232,1.411,1.392
2019-08-27,1.238,1.413,1.394
2019-08-26,1.226,1.404,1.384
2019-08-25,1.242,1.417,1.397
2019-08-24,1.222,1.401,1.381
2019-08-23,1.236,1.416,1.396
2019-08-22,1.229,1.413,1.393
2019-08-21,1.231,1.412,1.392
2019-08-20,1.228,1.41,1.39
2019-08-19,1.228,1.412,1.392
2019-08-18,1.229,1.416,1.396
2019-08-17,1.222,1.408,1.388
2019-08-16,1.227,1.414,1.394
2019-08-15,1.234,1.426,1.407
2019-08-14,1.229,1.423,1.403
2019-08-13,1.23,1.426,1.406
2019-08-12,1.233,1.429,1.409
2019-08-11,1.212,1.419,1.399
2019-08-10,1.213,1.416,1.396
2019-08-09,1.225,1.428,1.408
2019-08-08,1.231,1.434,1.414
2019-08-07,1.228,1.437,1.417
2019-08-06,1.245,1.445,1.425
2019-08-05,1.246,1.449,1.43
2019-08-04,1.254,1.453,1.433
2019-08-03,1.245,1.439,1.419
2019-08-02,1.253,1.452,1.432
2019-08-01,1.25,1.446,1.425
2019-07-31,1.234,1.436,1.416
2019-07-30,1.244,1.445,1.425
2019-07-29,1.243,1.447,1.427
2019-07-28,1.244,1.453,1.433
2019-07-27,1.228,1.439,1.419
2019-07-26,1.233,1.441,1.421
2019-07-25,1.236,1.445,1.425
2019-07-24,1.231,1.442,1.423
2019-07-23,1.24,1.455,1.435
2019-07-22,1.239,1.456,1.436
2019-07-21,1.237,1.458,1.438
2019-07-20,1.231,1.45,1.43
2019-07-19,1.234,1.45,1.431
2019-07-18,1.24,1.457,1.437
2019-07-17,1.244,1.466,1.446
2019-07-16,1.247,1.471,1.451
2019-07-15,1.25,1.471,1.451
2019-07-14,1.257,1.479,1.459
2019-07-13,1.244,1.463,1.444
2019-07-12,1.251,1.466,1.446
2019-07-11,1.237,1.458,1.438
2019-07-10,1.228,1.445,1.425
2019-07-09,1.222,1.439,1.419
2019-07-08,1.225,1.445,1.425
2019-07-07,1.222,1.44,1.42
2019-07-06,1.227,1.443,1.423
2019-07-05,1.234,1.446,1.426
2019-07-04,1.234,1.447,1.427
2019-07-03,1.237,1.454,1.435
2019-07-02,1.233,1.448,1.428
2019-07-01,1.237,1.452,1.432
2019-06-30,1.233,1.449,1.429
2019-06-29,1.223,1.436,1.416
2019-06-28,1.24,1.453,1.433
2019-06-27,1.238,1.455,1.435
2019-06-26,1.221,1.447,1.427
2019-06-25,1.225,1.452,1.432
2019-06-24,1.235,1.453,1.433
2019-06-23,1.234,1.454,1.434
2019-06-22,1.224,1.443,1.423
2019-06-21,1.231,1.452,1.432
2019-06-20,1.225,1.45,1.43
2019-06-19,1.222,1.453,1.433
2019-06-18,1.221,1.459,1.439
2019-06-17,1.229,1.459,1.439
2019-06-16,1.225,1.459,1.439
2019-06-15,1.219,1.453,1.433
2019-06-14,1.223,1.46,1.44
