date,vehicle_total
2017-01-01,279871
2017-01-02,493305
2017-01-03,544651
2017-01-04,569010
2017-01-05,588898
2017-01-06,597109
2017-01-07,350226
2017-01-08,304768
2017-01-09,614619
2017-01-10,635761
2017-01-11,646439
2017-01-12,660013
2017-01-13,598438
2017-01-14,409391
2017-01-15,335990
2017-01-16,628975
2017-01-17,658221
2017-01-18,651042
2017-01-19,658075
2017-01-20,678238
2017-01-21,467597
2017-01-22,392873
2017-01-23,642728
2017-01-24,650135
2017-01-25,668450
2017-01-26,677277
2017-01-27,693743
2017-01-28,489660
2017-01-29,395028
2017-01-30,642775
2017-01-31,664148
2017-02-01,674181
2017-02-02,679449
2017-02-03,688476
2017-02-04,461854
2017-02-05,386351
2017-02-06,652850
2017-02-07,669494
2017-02-08,671867
2017-02-09,692196
2017-02-10,677331
2017-02-11,432178
2017-02-12,377431
2017-02-13,654393
2017-02-14,682421
2017-02-15,690144
2017-02-16,693755
2017-02-17,696942
2017-02-18,511597
2017-02-19,406792
2017-02-20,652043
2017-02-21,679475
2017-02-22,672974
2017-02-23,610676
2017-02-24,657434
2017-02-25,440564
2017-02-26,354001
2017-02-27,448271
2017-02-28,652535
2017-03-01,674464
2017-03-02,702037
2017-03-03,720267
2017-03-04,537693
2017-03-05,422770
2017-03-06,671090
2017-03-07,684900
2017-03-08,682799
2017-03-09,664243
2017-03-10,721566
2017-03-11,514809
2017-03-12,444787
2017-03-13,676244
2017-03-14,687915
2017-03-15,698333
2017-03-16,723014
2017-03-17,717728
2017-03-18,505469
2017-03-19,423327
2017-03-20,689260
2017-03-21,695360
2017-03-22,715168
2017-03-23,716017
2017-03-24,720781
2017-03-25,534981
2017-03-26,455832
2017-03-27,679807
2017-03-28,698482
2017-03-29,705215
2017-03-30,718728
2017-03-31,728900
2017-04-01,523064
2017-04-02,473374
2017-04-03,692648
2017-04-04,710789
2017-04-05,725801
2017-04-06,737585
2017-04-07,737587
2017-04-08,519463
2017-04-09,463905
2017-04-10,665803
2017-04-11,675609
2017-04-12,675074
2017-04-13,688411
2017-04-14,380306
2017-04-15,403819
2017-04-16,393175
2017-04-17,414943
2017-04-18,646745
2017-04-19,663619
2017-04-20,676577
2017-04-21,690681
2017-04-22,500660
2017-04-23,427992
2017-04-24,687725
2017-04-25,710092
2017-04-26,717919
2017-04-27,724634
2017-04-28,748587
2017-04-29,531485
2017-04-30,450957
2017-05-01,370716
2017-05-02,687967
2017-05-03,711797
2017-05-04,721458
2017-05-05,735032
2017-05-06,539796
2017-05-07,464014
2017-05-08,696220
2017-05-09,714278
2017-05-10,726101
2017-05-11,723799
2017-05-12,732497
2017-05-13,519165
2017-05-14,487945
2017-05-15,701714
2017-05-16,712558
2017-05-17,717502
2017-05-18,720525
2017-05-19,719462
2017-05-20,542244
2017-05-21,471812
2017-05-22,694804
2017-05-23,707070
2017-05-24,754116
2017-05-25,431788
2017-05-26,598105
2017-05-27,464167
2017-05-28,442464
2017-05-29,674076
2017-05-30,692020
2017-05-31,708646
2017-06-01,711276
2017-06-02,718150
2017-06-03,476536
2017-06-04,407654
2017-06-05,415954
2017-06-06,693422
2017-06-07,707134
2017-06-08,711861
2017-06-09,705206
2017-06-10,499142
2017-06-11,430452
2017-06-12,680052
2017-06-13,695209
2017-06-14,718714
2017-06-15,394302
2017-06-16,612924
2017-06-17,481875
2017-06-18,455210
2017-06-19,674049
2017-06-20,695705
2017-06-21,701710
2017-06-22,698234
2017-06-23,711476
2017-06-24,513009
2017-06-25,451224
2017-06-26,697262
2017-06-27,704386
2017-06-28,721650
2017-06-29,735531
2017-06-30,726960
2017-07-01,503886
2017-07-02,438321
2017-07-03,696959
2017-07-04,720791
2017-07-05,724045
2017-07-06,721110
2017-07-07,724101
2017-07-08,543521
2017-07-09,482714
2017-07-10,706691
2017-07-11,715199
2017-07-12,702123
2017-07-13,743306
2017-07-14,720429
2017-07-15,528704
2017-07-16,464607
2017-07-17,676577
2017-07-18,692819
2017-07-19,679603
2017-07-20,695041
2017-07-21,711184
2017-07-22,504275
2017-07-23,441684
2017-07-24,644402
2017-07-25,642703
2017-07-26,660590
2017-07-27,673951
2017-07-28,676005
2017-07-29,465412
2017-07-30,425996
2017-07-31,644995
2017-08-01,657049
2017-08-02,672359
2017-08-03,690252
2017-08-04,694367
2017-08-05,511018
2017-08-06,497723
2017-08-07,662319
2017-08-08,667090
2017-08-09,689940
2017-08-10,678759
2017-08-11,681810
2017-08-12,468349
2017-08-13,447874
2017-08-14,664998
2017-08-15,667021
2017-08-16,678446
2017-08-17,673259
2017-08-18,675435
2017-08-19,480491
2017-08-20,450946
2017-08-21,671703
2017-08-22,687038
2017-08-23,696728
2017-08-24,699725
2017-08-25,719654
2017-08-26,539566
2017-08-27,512341
2017-08-28,719708
2017-08-29,724240
2017-08-30,722160
2017-08-31,719109
2017-09-01,740700
2017-09-02,561552
2017-09-03,511208
2017-09-04,683037
2017-09-05,701145
2017-09-06,710649
2017-09-07,715532
2017-09-08,707835
2017-09-09,502128
2017-09-10,475971
2017-09-11,673383
2017-09-12,705011
2017-09-13,703028
2017-09-14,704099
2017-09-15,724036
2017-09-16,542175
2017-09-17,481127
2017-09-18,674587
2017-09-19,702714
2017-09-20,713606
2017-09-21,714792
2017-09-22,730183
2017-09-23,526408
2017-09-24,473447
2017-09-25,690056
2017-09-26,706142
2017-09-27,725455
2017-09-28,728314
2017-09-29,753394
2017-09-30,563174
2017-10-01,496249
2017-10-02,649854
2017-10-03,413196
2017-10-04,725733
2017-10-05,717053
2017-10-06,715389
2017-10-07,514735
2017-10-08,450953
2017-10-09,725845
2017-10-10,721306
2017-10-11,719959
2017-10-12,740243
2017-10-13,741353
2017-10-14,532003
2017-10-15,504261
2017-10-16,702908
2017-10-17,705780
2017-10-18,731804
2017-10-19,738896
2017-10-20,732489
2017-10-21,516277
2017-10-22,424594
2017-10-23,683611
2017-10-24,686105
2017-10-25,696210
2017-10-26,715792
2017-10-27,720644
2017-10-28,538537
2017-10-29,430094
2017-10-30,589580
2017-10-31,372400
2017-11-01,396473
2017-11-02,673438
2017-11-03,688542
2017-11-04,513018
2017-11-05,408715
2017-11-06,686094
2017-11-07,696914
2017-11-08,709808
2017-11-09,707498
2017-11-10,716160
2017-11-11,486880
2017-11-12,413003
2017-11-13,696200
2017-11-14,709856
2017-11-15,713254
2017-11-16,688638
2017-11-17,719872
2017-11-18,515626
2017-11-19,422901
2017-11-20,667006
2017-11-21,679918
2017-11-22,706345
2017-11-23,710341
2017-11-24,728481
2017-11-25,525684
2017-11-26,409673
2017-11-27,675025
2017-11-28,691011
2017-11-29,707503
2017-11-30,708750
2017-12-01,722256
2017-12-02,549958
2017-12-03,419364
2017-12-04,683908
2017-12-05,693927
2017-12-06,712376
2017-12-07,715889
2017-12-08,695525
2017-12-09,453216
2017-12-10,332699
2017-12-11,609234
2017-12-12,669046
2017-12-13,693824
2017-12-14,703694
2017-12-15,710844
2017-12-16,504829
2017-12-17,418739
2017-12-18,647512
2017-12-19,673164
2017-12-20,690715
2017-12-21,661558
2017-12-22,621308
2017-12-23,394067
2017-12-24,299601
2017-12-25,382710
2017-12-26,410898
2017-12-27,510659
2017-12-28,520352
2017-12-29,491208
2017-12-30,383781
2017-12-31,243294
