TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4907;5007;05;A;  59;190101; 2;s;01;  102;-;  140;s;    0;-;    0;s;  101;-;   98;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  140;s;  136;s;    4;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;02;  351;-;  338;s;    2;-;    0;s;  343;-;  329;-;   14;-;    0;-;    1;-;    0;-;    2;-;    0;-;    0;-;    5;-;  338;s;  327;s;   11;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;03;  329;-;  357;s;    0;-;    2;s;  327;-;  318;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    2;-;  351;s;  336;s;   15;s;    0;s;    4;s;    0;s;    2;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;04;  208;-;  235;s;    2;-;    0;s;  204;-;  199;-;    4;-;    1;-;    0;-;    0;-;    2;-;    0;-;    0;-;    2;-;  235;s;  232;s;    3;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;05;  137;-;  160;s;    1;-;    2;s;  135;-;  135;-;    0;-;    0;-;    1;-;    0;-;    0;-;    1;-;    1;-;    0;-;  158;s;  156;s;    2;s;    0;s;    0;s;    1;s;    1;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;06;  114;-;  140;s;    1;-;    1;s;  111;-;  109;-;    1;-;    1;-;    0;-;    0;-;    0;-;    1;-;    1;-;    2;-;  139;s;  134;s;    5;s;    0;s;    0;s;    0;s;    1;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;07;   81;-;  112;s;    1;-;    3;s;   79;-;   76;-;    3;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    1;-;  109;s;  106;s;    3;s;    0;s;    0;s;    2;s;    1;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;08;   61;-;   83;s;    2;-;    2;s;   59;-;   57;-;    2;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;   81;s;   76;s;    5;s;    0;s;    0;s;    1;s;    1;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;09;   46;-;   95;s;    2;-;    5;s;   44;-;   42;-;    2;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;   89;s;   85;s;    4;s;    0;s;    1;s;    2;s;    3;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;10;   68;-;  132;s;    3;-;    4;s;   63;-;   60;-;    3;-;    0;-;    0;-;    0;-;    1;-;    2;-;    2;-;    2;-;  127;s;  120;s;    7;s;    0;s;    1;s;    1;s;    3;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;11;  138;-;  208;s;    4;-;    6;s;  130;-;  123;-;    7;-;    0;-;    1;-;    0;-;    2;-;    2;-;    2;-;    3;-;  202;s;  195;s;    7;s;    0;s;    0;s;    2;s;    3;s;    1;s;    1;s;    0;s
4907;5007;05;A;  59;190101; 2;s;12;  266;-;  403;s;    4;-;    9;s;  260;-;  255;-;    5;-;    0;-;    1;-;    1;-;    3;-;    0;-;    0;-;    1;-;  393;s;  380;s;   12;s;    1;s;    1;s;    3;s;    2;s;    4;s;    3;s;    0;s
4907;5007;05;A;  59;190101; 2;s;13;  435;-;  617;s;    5;-;   11;s;  426;-;  414;-;   12;-;    0;-;    2;-;    1;-;    3;-;    1;-;    1;-;    2;-;  605;s;  585;s;   19;s;    1;s;    1;s;    3;s;    6;s;    2;s;    2;s;    0;s
4907;5007;05;A;  59;190101; 2;s;14;  591;-;  772;s;   10;-;   11;s;  578;-;  560;-;   18;-;    0;-;    0;-;    2;-;    5;-;    3;-;    3;-;    3;-;  760;s;  738;s;   22;s;    0;s;    1;s;    0;s;   11;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;15;  698;-;  859;s;    6;-;    8;s;  684;-;  666;-;   17;-;    1;-;    2;-;    1;-;    3;-;    2;-;    2;-;    6;-;  848;s;  823;s;   23;s;    2;s;    2;s;    2;s;    6;s;    0;s;    0;s;    1;s
4907;5007;05;A;  59;190101; 2;s;16;  719;-;  829;s;    7;-;    8;s;  704;-;  685;-;   18;-;    1;-;    1;-;    2;-;    3;-;    2;-;    1;-;    7;-;  820;s;  788;s;   31;s;    1;s;    1;s;    1;s;    7;s;    0;s;    0;s;    0;s
4907;5007;05;A;  59;190101; 2;s;17;  689;-;  771;s;    6;-;    8;s;  677;-;  645;-;   32;-;    0;-;    1;-;    0;-;    3;-;    3;-;    2;-;    5;-;  762;s;  741;s;   20;s;    1;s;    1;s;    2;s;    5;s;    1;s;    1;s;    0;s
4907;5007;05;A;  59;190101; 2;s;18;  627;-;  728;s;    8;-;    9;s;  617;-;  603;-;   13;-;    1;-;    0;-;    2;-;    5;-;    1;-;    1;-;    2;-;  717;s;  702;s;   15;s;    0;s;    2;s;    0;s;    6;s;    3;s;    3;s;    0;s
4907;5007;05;A;  59;190101; 2;s;19;  536;-;  629;s;    6;-;    9;s;  526;-;  505;-;   21;-;    0;-;    2;-;    2;-;    4;-;    0;-;    0;-;    2;-;  620;s;  601;s;   19;s;    0;s;    0;s;    2;s;    4;s;    3;s;    3;s;    0;s
4907;5007;05;A;  59;190101; 2;s;20;  511;-;  526;s;    7;-;    5;s;  499;-;  475;-;   24;-;    0;-;    2;-;    3;-;    2;-;    2;-;    2;-;    3;-;  521;s;  507;s;   14;s;    0;s;    0;s;    0;s;    3;s;    2;s;    2;s;    0;s
4907;5007;05;A;  59;190101; 2;s;21;  419;-;  428;s;    9;-;    4;s;  408;-;  402;-;    6;-;    0;-;    0;-;    3;-;    2;-;    4;-;    4;-;    2;-;  422;s;  410;s;   12;s;    0;s;    2;s;    0;s;    2;s;    2;s;    2;s;    0;s
4907;5007;05;A;  59;190101; 2;s;22;  299;-;  381;s;    5;-;   11;s;  290;-;  282;-;    8;-;    0;-;    0;-;    2;-;    1;-;    2;-;    1;-;    4;-;  370;s;  360;s;   10;s;    0;s;    0;s;    2;s;    3;s;    6;s;    6;s;    0;s
4907;5007;05;A;  59;190101; 2;s;23;  245;-;  267;s;   10;-;   11;s;  234;-;  223;-;   10;-;    1;-;    0;-;    1;-;    3;-;    6;-;    6;-;    1;-;  255;s;  247;s;    8;s;    0;s;    1;s;    2;s;    2;s;    7;s;    7;s;    0;s
