date,vehicle_total
2015-11-16,529014
2015-11-17,544113
2015-11-18,559589
2015-11-19,548347
2015-11-20,558337
2015-11-21,391442
2015-11-22,302397
2015-11-23,523276
2015-11-24,519932
2015-11-25,543680
2015-11-26,555077
2015-11-27,561361
2015-11-28,397687
2015-11-29,330837
2015-11-30,522638
2015-12-01,526248
2015-12-02,551428
2015-12-03,548798
2015-12-04,562073
2015-12-05,414324
2015-12-06,336980
2015-12-07,532062
2015-12-08,544036
2015-12-09,552008
2015-12-10,557755
2015-12-11,548848
2015-12-12,398589
2015-12-13,328202
2015-12-14,528232
2015-12-15,551778
2015-12-16,542172
2015-12-17,552333
2015-12-18,559119
2015-12-19,387359
2015-12-20,319819
2015-12-21,486164
2015-12-22,478720
2015-12-23,430045
2015-12-24,268265
2015-12-25,287090
2015-12-26,329226
2015-12-27,307263
2015-12-28,387361
2015-12-29,391401
2015-12-30,388583
2015-12-31,228736
