TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4805;5016;05;A;  46;080101; 2;s;01;  283;s;  336;s;    4;s;    5;s;  278;s;  250;s;   28;s;    0;s;    0;s;    1;s;    1;s;    2;s;    2;s;    1;s;  328;s;  304;s;   24;s;    0;s;    1;s;    1;s;    1;s;    3;s;    2;s;    2;s
4805;5016;05;A;  46;080101; 2;s;02;  203;s;  260;s;    4;s;    4;s;  198;s;  177;s;   21;s;    0;s;    0;s;    1;s;    1;s;    2;s;    1;s;    1;s;  255;s;  236;s;   19;s;    0;s;    0;s;    0;s;    3;s;    1;s;    1;s;    1;s
4805;5016;05;A;  46;080101; 2;s;03;  129;s;  173;s;    1;s;    2;s;  128;s;  108;s;   19;s;    1;s;    0;s;    0;s;    1;s;    0;s;    0;s;    0;s;  171;s;  154;s;   17;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s
4805;5016;05;A;  46;080101; 2;s;04;  113;s;  134;s;    2;s;    2;s;  110;s;   95;s;   15;s;    0;s;    1;s;    0;s;    2;s;    0;s;    0;s;    0;s;  132;s;  120;s;   12;s;    0;s;    0;s;    0;s;    0;s;    2;s;    1;s;    0;s
4805;5016;05;A;  46;080101; 2;s;05;  114;s;  109;s;    2;s;    1;s;  111;s;   97;s;   14;s;    0;s;    0;s;    1;s;    1;s;    0;s;    0;s;    1;s;  107;s;   97;s;   10;s;    0;s;    1;s;    0;s;    1;s;    0;s;    0;s;    0;s
4805;5016;05;A;  46;080101; 2;s;06;  150;s;  125;s;    3;s;    2;s;  144;s;  128;s;   16;s;    0;s;    3;s;    1;s;    1;s;    1;s;    1;s;    0;s;  121;s;  110;s;   11;s;    0;s;    2;s;    0;s;    1;s;    1;s;    1;s;    0;s
4805;5016;05;A;  46;080101; 2;s;07;  157;s;  153;s;    3;s;    3;s;  151;s;  132;s;   19;s;    0;s;    3;s;    0;s;    1;s;    2;s;    1;s;    0;s;  143;s;  128;s;   15;s;    0;s;    6;s;    0;s;    2;s;    1;s;    1;s;    1;s
4805;5016;05;A;  46;080101; 2;s;08;  194;s;  161;s;    2;s;    5;s;  187;s;  162;s;   25;s;    0;s;    4;s;    0;s;    0;s;    2;s;    2;s;    1;s;  146;s;  127;s;   19;s;    0;s;    9;s;    1;s;    2;s;    2;s;    1;s;    1;s
4805;5016;05;A;  46;080101; 2;s;09;  329;s;  233;s;    3;s;    4;s;  323;s;  287;s;   36;s;    0;s;    3;s;    0;s;    1;s;    2;s;    1;s;    0;s;  222;s;  194;s;   27;s;    1;s;    7;s;    0;s;    1;s;    3;s;    3;s;    0;s
4805;5016;05;A;  46;080101; 2;s;10;  526;s;  380;s;    3;s;    4;s;  517;s;  463;s;   52;s;    2;s;    4;s;    0;s;    1;s;    2;s;    2;s;    2;s;  370;s;  336;s;   33;s;    1;s;    4;s;    0;s;    2;s;    2;s;    1;s;    2;s
4805;5016;05;A;  46;080101; 2;s;11;  705;s;  588;s;    6;s;    6;s;  690;s;  627;s;   61;s;    2;s;    6;s;    1;s;    4;s;    1;s;    1;s;    3;s;  575;s;  526;s;   47;s;    2;s;    6;s;    1;s;    3;s;    2;s;    2;s;    1;s
4805;5016;05;A;  46;080101; 2;s;12;  809;s;  726;s;    5;s;    6;s;  795;s;  727;s;   67;s;    1;s;    5;s;    1;s;    2;s;    2;s;    2;s;    4;s;  708;s;  650;s;   57;s;    1;s;    8;s;    0;s;    2;s;    4;s;    3;s;    4;s
