TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4805;5016;05;A;  46;090101; 4;s;01;  122;-;  198;-;    0;-;    0;-;  122;-;  119;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  197;-;  187;-;   10;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
4805;5016;05;A;  46;090101; 4;s;02;  355;-;  410;-;    1;-;    0;-;  351;-;  345;-;    6;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    3;-;  407;-;  390;-;   17;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    3;-
4805;5016;05;A;  46;090101; 4;s;03;  412;-;  451;-;    4;-;    1;-;  402;-;  389;-;   13;-;    0;-;    0;-;    0;-;    3;-;    1;-;    1;-;    6;-;  445;-;  434;-;   11;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    5;-
4805;5016;05;A;  46;090101; 4;s;04;  244;-;  347;-;    2;-;    2;-;  240;-;  231;-;    9;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;    2;-;  344;-;  332;-;   12;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    1;-
4805;5016;05;A;  46;090101; 4;s;05;  160;-;  233;-;    0;-;    1;-;  159;-;  154;-;    4;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  230;-;  217;-;   13;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    2;-
4805;5016;05;A;  46;090101; 4;s;06;  161;-;  224;-;    1;-;    2;-;  159;-;  155;-;    4;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    1;-;  221;-;  214;-;    7;-;    0;-;    1;-;    0;-;    2;-;    0;-;    0;-;    0;-
4805;5016;05;A;  46;090101; 4;s;07;  138;-;  188;-;    2;-;    1;-;  134;-;  124;-;   10;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    2;-;  184;-;  173;-;   11;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    3;-
4805;5016;05;A;  46;090101; 4;s;08;  108;-;  128;-;    4;-;    5;-;  103;-;   97;-;    6;-;    0;-;    0;-;    1;-;    0;-;    3;-;    3;-;    1;-;  123;-;  118;-;    5;-;    0;-;    0;-;    1;-;    3;-;    1;-;    1;-;    0;-
4805;5016;05;A;  46;090101; 4;s;09;  119;-;   95;-;   11;-;    3;-;  107;-;   99;-;    8;-;    0;-;    0;-;    4;-;    3;-;    4;-;    3;-;    1;-;   91;-;   83;-;    8;-;    0;-;    0;-;    1;-;    2;-;    0;-;    0;-;    1;-
4805;5016;05;A;  46;090101; 4;s;10;  164;-;  128;-;    8;-;    5;-;  155;-;  151;-;    4;-;    0;-;    0;-;    2;-;    2;-;    4;-;    3;-;    1;-;  122;-;  113;-;    9;-;    0;-;    1;-;    1;-;    3;-;    1;-;    1;-;    0;-
4805;5016;05;A;  46;090101; 4;s;11;  235;-;  209;-;    5;-;    6;-;  229;-;  213;-;   16;-;    0;-;    0;-;    0;-;    4;-;    1;-;    1;-;    1;-;  201;-;  189;-;   12;-;    0;-;    1;-;    0;-;    2;-;    4;-;    3;-;    1;-
4805;5016;05;A;  46;090101; 4;s;12;  457;-;  391;-;    2;-;    8;-;  451;-;  426;-;   25;-;    0;-;    3;-;    0;-;    1;-;    1;-;    0;-;    1;-;  381;-;  365;-;   16;-;    0;-;    1;-;    0;-;    5;-;    3;-;    3;-;    1;-
4805;5016;05;A;  46;090101; 4;s;13;  740;-;  611;-;    5;-;    7;-;  721;-;  687;-;   33;-;    1;-;    1;-;    0;-;    2;-;    3;-;    3;-;   13;-;  598;-;  577;-;   21;-;    0;-;    2;-;    0;-;    2;-;    5;-;    4;-;    4;-
4805;5016;05;A;  46;090101; 4;s;14;  939;-;  815;-;    6;-;   11;-;  928;-;  895;-;   33;-;    0;-;    2;-;    0;-;    1;-;    5;-;    5;-;    3;-;  797;-;  761;-;   35;-;    1;-;    3;-;    1;-;    4;-;    6;-;    6;-;    4;-
4805;5016;05;A;  46;090101; 4;s;15; 1072;-; 1005;-;    4;-;    4;-; 1065;-; 1019;-;   46;-;    0;-;    1;-;    0;-;    2;-;    2;-;    1;-;    2;-;  992;-;  946;-;   44;-;    2;-;    2;-;    0;-;    1;-;    3;-;    3;-;    7;-
4805;5016;05;A;  46;090101; 4;s;16; 1034;-; 1009;-;   11;-;    5;-; 1015;-;  972;-;   43;-;    0;-;    2;-;    1;-;    6;-;    4;-;    4;-;    6;-;  994;-;  957;-;   37;-;    0;-;    2;-;    0;-;    3;-;    2;-;    1;-;    8;-
4805;5016;05;A;  46;090101; 4;s;17; 1006;-; 1055;-;    9;-;    7;-;  991;-;  937;-;   54;-;    0;-;    2;-;    0;-;    3;-;    6;-;    4;-;    4;-; 1038;-;  993;-;   45;-;    0;-;    1;-;    0;-;    1;-;    6;-;    5;-;    9;-
4805;5016;05;A;  46;090101; 4;s;18;  875;-;  900;-;    8;-;   11;-;  863;-;  825;-;   38;-;    0;-;    3;-;    2;-;    2;-;    4;-;    4;-;    1;-;  884;-;  854;-;   30;-;    0;-;    2;-;    1;-;    5;-;    5;-;    5;-;    3;-
4805;5016;05;A;  46;090101; 4;s;19;  712;-;  741;-;   11;-;   15;-;  698;-;  659;-;   39;-;    0;-;    0;-;    6;-;    3;-;    2;-;    1;-;    3;-;  721;-;  687;-;   34;-;    0;-;    1;-;    2;-;    4;-;    9;-;    7;-;    4;-
4805;5016;05;A;  46;090101; 4;s;20;  655;-;  640;-;   13;-;    6;-;  635;-;  603;-;   32;-;    0;-;    0;-;    3;-;    5;-;    5;-;    4;-;    7;-;  629;-;  597;-;   32;-;    0;-;    1;-;    0;-;    3;-;    3;-;    0;-;    4;-
4805;5016;05;A;  46;090101; 4;s;21;  474;-;  455;-;   10;-;    9;-;  462;-;  437;-;   25;-;    0;-;    0;-;    2;-;    3;-;    5;-;    5;-;    2;-;  442;-;  417;-;   24;-;    1;-;    2;-;    1;-;    7;-;    1;-;    1;-;    2;-
4805;5016;05;A;  46;090101; 4;s;22;  336;-;  368;-;   13;-;    2;-;  320;-;  306;-;   14;-;    0;-;    1;-;    4;-;    1;-;    8;-;    5;-;    2;-;  358;-;  341;-;   17;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    8;-
4805;5016;05;A;  46;090101; 4;s;23;  228;-;  260;-;   10;-;    8;-;  217;-;  201;-;   16;-;    0;-;    1;-;    0;-;    1;-;    9;-;    6;-;    0;-;  250;-;  232;-;   18;-;    0;-;    0;-;    0;-;    3;-;    5;-;    5;-;    2;-
4805;5016;05;A;  46;090101; 4;s;24;  143;-;  185;-;   11;-;   17;-;  130;-;  125;-;    5;-;    0;-;    0;-;    0;-;    1;-;   10;-;    9;-;    2;-;  167;-;  156;-;   11;-;    0;-;    0;-;    0;-;    3;-;   14;-;   12;-;    1;-
4805;5016;05;A;  46;090102; 5;u;01;  117;-;  126;-;   14;-;   23;-;  103;-;   94;-;    9;-;    0;-;    0;-;    0;-;    5;-;    9;-;    9;-;    0;-;  103;-;   93;-;   10;-;    0;-;    0;-;    0;-;    8;-;   15;-;   13;-;    0;-
4805;5016;05;A;  46;090102; 5;u;02;   77;-;   97;-;   16;-;   18;-;   60;-;   53;-;    7;-;    0;-;    0;-;    0;-;    8;-;    8;-;    7;-;    1;-;   79;-;   75;-;    4;-;    0;-;    0;-;    0;-;    5;-;   13;-;   10;-;    0;-
4805;5016;05;A;  46;090102; 5;u;03;   89;-;   52;-;   23;-;   15;-;   64;-;   58;-;    6;-;    0;-;    0;-;    1;-;    6;-;   16;-;   14;-;    2;-;   37;-;   29;-;    8;-;    0;-;    0;-;    0;-;    7;-;    8;-;    6;-;    0;-
4805;5016;05;A;  46;090102; 5;u;04;   79;-;   90;-;   21;-;   32;-;   57;-;   54;-;    3;-;    0;-;    0;-;    1;-;    7;-;   13;-;   13;-;    1;-;   57;-;   53;-;    4;-;    0;-;    1;-;    0;-;   10;-;   22;-;   20;-;    0;-
4805;5016;05;A;  46;090102; 5;u;05;  204;-;  120;-;   49;-;   44;-;  155;-;  143;-;   12;-;    0;-;    0;-;    2;-;   18;-;   29;-;   22;-;    0;-;   76;-;   68;-;    8;-;    0;-;    0;-;    0;-;   13;-;   31;-;   23;-;    0;-
4805;5016;05;A;  46;090102; 5;u;06;  575;-;  285;-;  107;-;   68;-;  463;-;  438;-;   25;-;    0;-;    4;-;    7;-;   42;-;   58;-;   50;-;    1;-;  212;-;  190;-;   22;-;    0;-;    1;-;    4;-;   22;-;   42;-;   33;-;    4;-
4805;5016;05;A;  46;090102; 5;u;07;  993;-;  412;-;  102;-;   93;-;  887;-;  843;-;   44;-;    0;-;    4;-;    2;-;   55;-;   45;-;   34;-;    0;-;  315;-;  296;-;   19;-;    0;-;    1;-;    2;-;   36;-;   55;-;   36;-;    3;-
4805;5016;05;A;  46;090102; 5;u;08; 1338;-;  644;-;  104;-;  112;-; 1226;-; 1191;-;   34;-;    1;-;    5;-;    4;-;   33;-;   67;-;   52;-;    3;-;  527;-;  491;-;   36;-;    0;-;    4;-;    3;-;   43;-;   66;-;   53;-;    1;-
4805;5016;05;A;  46;090102; 5;u;09; 1276;-;  698;-;   99;-;  141;-; 1166;-; 1115;-;   50;-;    1;-;    4;-;    1;-;   50;-;   48;-;   41;-;    7;-;  550;-;  508;-;   42;-;    0;-;    3;-;    3;-;   58;-;   80;-;   63;-;    4;-
4805;5016;05;A;  46;090102; 5;u;10; 1233;-;  753;-;  115;-;  141;-; 1107;-; 1045;-;   62;-;    0;-;    4;-;    2;-;   42;-;   71;-;   60;-;    7;-;  600;-;  532;-;   68;-;    0;-;    6;-;    2;-;   50;-;   89;-;   67;-;    6;-
4805;5016;05;A;  46;090102; 5;u;11; 1427;-;  980;-;  129;-;  144;-; 1287;-; 1217;-;   70;-;    0;-;    8;-;    1;-;   59;-;   69;-;   56;-;    3;-;  827;-;  754;-;   73;-;    0;-;    3;-;    3;-;   44;-;   97;-;   78;-;    6;-
4805;5016;05;A;  46;090102; 5;u;12; 1555;-; 1163;-;  143;-;  127;-; 1401;-; 1325;-;   76;-;    0;-;    8;-;    1;-;   50;-;   92;-;   84;-;    3;-; 1023;-;  945;-;   78;-;    0;-;    4;-;    1;-;   48;-;   78;-;   64;-;    9;-
