TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4907;5007;05;A;  59;160101; 5;s;01;  145;-;  110;-;    0;-;    0;-;  143;-;  135;-;    8;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    2;-;  110;-;  104;-;    6;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;160101; 5;s;02;  368;-;  316;-;    3;-;    2;-;  362;-;  349;-;   13;-;    0;-;    1;-;    0;-;    3;-;    0;-;    0;-;    2;-;  312;-;  305;-;    7;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    2;-
4907;5007;05;A;  59;160101; 5;s;03;  361;-;  300;-;    1;-;    2;-;  354;-;  341;-;   13;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    6;-;  298;-;  289;-;    9;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;160101; 5;s;04;  270;-;  235;-;    0;-;    0;-;  269;-;  257;-;   12;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;  235;-;  229;-;    6;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;160101; 5;s;05;  164;-;  183;-;    0;-;    0;-;  161;-;  151;-;   10;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    3;-;  183;-;  174;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;160101; 5;s;06;  148;-;  132;-;    0;-;    1;-;  147;-;  140;-;    6;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;  131;-;  127;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;160101; 5;s;07;   83;-;   93;-;    2;-;    0;-;   80;-;   75;-;    5;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    1;-;   93;-;   90;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;160101; 5;s;08;   56;-;   70;-;    0;-;    2;-;   56;-;   53;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   68;-;   63;-;    5;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;160101; 5;s;09;   56;-;   87;-;    3;-;    8;-;   51;-;   48;-;    3;-;    0;-;    0;-;    0;-;    2;-;    1;-;    1;-;    2;-;   76;-;   74;-;    2;-;    0;-;    3;-;    3;-;    1;-;    4;-;    4;-;    0;-
4907;5007;05;A;  59;160101; 5;s;10;   75;-;  123;-;    1;-;    4;-;   72;-;   68;-;    4;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    1;-;  119;-;  113;-;    6;-;    0;-;    0;-;    3;-;    0;-;    1;-;    1;-;    0;-
