date,vehicle_total
2022-01-01,207942
2022-01-02,260624
2022-01-03,362666
2022-01-04,373501
2022-01-05,385999
2022-01-06,408473
2022-01-07,392117
2022-01-08,314659
2022-01-09,248436
2022-01-10,413842
2022-01-11,425150
2022-01-12,421981
2022-01-13,433581
2022-01-14,434031
2022-01-15,321957
2022-01-16,260302
2022-01-17,414836
2022-01-18,423252
2022-01-19,428607
2022-01-20,426513
2022-01-21,429603
2022-01-22,319326
2022-01-23,256919
2022-01-24,412284
2022-01-25,424033
2022-01-26,428934
2022-01-27,428458
2022-01-28,432007
2022-01-29,330232
2022-01-30,282567
2022-01-31,413477
2022-02-01,426982
2022-02-02,435361
2022-02-03,429601
2022-02-04,445162
2022-02-05,333699
2022-02-06,241467
2022-02-07,414312
2022-02-08,427896
2022-02-09,432624
2022-02-10,437669
2022-02-11,456215
2022-02-12,358964
2022-02-13,293264
2022-02-14,427565
2022-02-15,435127
2022-02-16,438660
2022-02-17,393088
2022-02-18,442512
2022-02-19,364728
2022-02-20,269295
2022-02-21,421720
2022-02-22,438494
2022-02-23,461341
2022-02-24,446653
2022-02-25,457272
2022-02-26,386718
2022-02-27,315863
2022-02-28,427562
2022-03-01,451819
2022-03-02,447444
2022-03-03,462731
2022-03-04,472318
2022-03-05,380398
2022-03-06,307460
2022-03-07,432917
2022-03-08,443029
2022-03-09,445492
2022-03-10,443631
2022-03-11,456746
2022-03-12,351496
2022-03-13,298086
2022-03-14,419319
2022-03-15,436876
2022-03-16,431647
2022-03-17,454526
2022-03-18,458662
2022-03-19,358726
2022-03-20,298128
2022-03-21,428654
2022-03-22,439234
2022-03-23,457449
2022-03-24,458137
2022-03-25,463548
2022-03-26,366946
2022-03-27,314518
2022-03-28,439183
2022-03-29,448161
2022-03-30,457827
2022-03-31,461000
2022-04-01,452108
2022-04-02,335370
2022-04-03,291254
2022-04-04,439597
2022-04-05,455084
2022-04-06,462984
2022-04-07,464915
2022-04-08,489803
2022-04-09,370485
2022-04-10,318180
2022-04-11,448386
2022-04-12,464590
2022-04-13,467490
2022-04-14,471276
2022-04-15,309980
2022-04-16,331948
2022-04-17,315651
2022-04-18,341301
2022-04-19,450849
2022-04-20,450989
2022-04-21,459563
2022-04-22,465559
2022-04-23,379344
2022-04-24,328786
2022-04-25,431493
2022-04-26,448974
2022-04-27,460955
2022-04-28,466427
2022-04-29,466894
2022-04-30,372231
2022-05-01,325441
2022-05-02,455657
2022-05-03,458343
2022-05-04,461526
2022-05-05,472240
2022-05-06,486882
2022-05-07,392434
2022-05-08,379801
2022-05-09,473529
2022-05-10,486533
2022-05-11,500249
2022-05-12,505714
2022-05-13,510296
2022-05-14,404472
2022-05-15,371868
2022-05-16,477298
2022-05-17,495591
2022-05-18,505977
2022-05-19,491285
2022-05-20,488504
2022-05-21,410406
2022-05-22,364873
2022-05-23,477602
2022-05-24,491180
2022-05-25,527403
2022-05-26,329420
2022-05-27,435221
2022-05-28,378989
2022-05-29,360123
2022-05-30,479364
2022-05-31,489312
2022-06-01,496389
2022-06-02,504138
2022-06-03,513623
2022-06-04,406672
2022-06-05,317815
2022-06-06,337882
2022-06-07,485083
2022-06-08,481890
2022-06-09,487782
2022-06-10,501123
2022-06-11,397584
2022-06-12,352289
2022-06-13,467737
2022-06-14,486690
2022-06-15,501291
2022-06-16,317924
2022-06-17,439231
2022-06-18,365827
2022-06-19,363181
2022-06-20,479884
2022-06-21,488852
2022-06-22,496624
2022-06-23,503745
2022-06-24,494446
2022-06-25,392497
2022-06-26,332511
2022-06-27,459121
2022-06-28,475429
2022-06-29,473220
2022-06-30,480045
2022-07-01,489882
2022-07-02,385570
2022-07-03,348876
2022-07-04,458977
2022-07-05,462211
2022-07-06,471843
2022-07-07,473615
2022-07-08,484831
2022-07-09,377249
2022-07-10,342116
2022-07-11,455249
2022-07-12,454024
2022-07-13,458850
2022-07-14,476693
2022-07-15,477592
2022-07-16,388547
2022-07-17,357986
2022-07-18,443721
2022-07-19,429274
2022-07-20,448667
2022-07-21,459201
2022-07-22,473999
2022-07-23,393679
2022-07-24,352244
2022-07-25,441288
2022-07-26,447783
2022-07-27,465863
2022-07-28,478736
2022-07-29,475283
2022-07-30,400554
2022-07-31,359423
2022-08-01,462610
2022-08-02,474511
