date,vehicle_total
2009-01-01,191830
2009-01-02,374740
2009-01-03,330297
2009-01-04,258036
2009-01-05,366389
2009-01-06,463135
2009-01-07,476488
2009-01-08,504340
2009-01-09,537040
2009-01-10,330201
2009-01-11,272486
2009-01-12,545522
2009-01-13,540379
2009-01-14,558113
2009-01-15,576373
2009-01-16,595321
2009-01-17,383316
2009-01-18,311725
2009-01-19,571299
2009-01-20,580634
2009-01-21,592506
2009-01-22,580824
2009-01-23,601801
2009-01-24,402200
2009-01-25,343339
2009-01-26,576498
2009-01-27,580699
2009-01-28,594742
2009-01-29,612097
2009-01-30,621371
2009-01-31,421195
2009-02-01,332124
2009-02-02,573880
2009-02-03,589174
2009-02-04,591678
2009-02-05,598012
2009-02-06,618852
2009-02-07,396361
2009-02-08,316561
2009-02-09,567886
2009-02-10,569917
2009-02-11,595656
2009-02-12,600577
2009-02-13,618764
2009-02-14,413425
2009-02-15,317880
2009-02-16,561328
2009-02-17,581393
2009-02-18,605147
2009-02-19,537336
2009-02-20,568082
2009-02-21,368736
2009-02-22,287324
2009-02-23,348888
2009-02-24,545437
2009-02-25,584151
2009-02-26,601481
2009-02-27,620373
2009-02-28,425252
2009-03-01,366438
2009-03-02,577939
2009-03-03,595174
2009-03-04,610567
2009-03-05,594087
2009-03-06,610464
2009-03-07,426634
2009-03-08,342176
2009-03-09,585074
2009-03-10,588069
2009-03-11,605768
2009-03-12,599970
2009-03-13,630237
2009-03-14,432430
2009-03-15,358259
2009-03-16,602288
2009-03-17,603890
2009-03-18,618765
2009-03-19,624777
2009-03-20,648848
2009-03-21,456245
2009-03-22,376988
2009-03-23,580779
2009-03-24,592803
2009-03-25,596451
2009-03-26,606395
2009-03-27,624903
2009-03-28,420087
2009-03-29,349791
2009-03-30,606618
2009-03-31,618361
2009-04-01,629915
2009-04-02,640413
2009-04-03,654493
2009-04-04,433648
2009-04-05,364838
2009-04-06,576646
2009-04-07,583147
2009-04-08,596349
2009-04-09,601642
2009-04-10,341724
2009-04-11,356083
2009-04-12,350463
2009-04-13,362116
2009-04-14,570692
2009-04-15,588558
2009-04-16,588305
2009-04-17,600693
2009-04-18,410896
2009-04-19,374696
2009-04-20,596178
2009-04-21,616069
2009-04-22,626022
2009-04-23,632378
2009-04-24,658357
2009-04-25,442202
2009-04-26,387356
2009-04-27,614388
2009-04-28,618154
2009-04-29,640965
2009-04-30,670640
2009-05-01,366305
2009-05-02,407842
2009-05-03,414027
2009-05-04,609954
2009-05-05,609822
2009-05-06,621166
2009-05-07,625741
2009-05-08,638407
2009-05-09,443861
2009-05-10,429144
2009-05-11,589589
2009-05-12,605106
2009-05-13,619718
2009-05-14,620997
2009-05-15,629559
2009-05-16,433761
2009-05-17,357773
2009-05-18,603113
2009-05-19,612937
2009-05-20,657313
2009-05-21,338027
2009-05-22,506257
2009-05-23,405097
2009-05-24,395007
2009-05-25,587167
2009-05-26,595865
2009-05-27,612217
2009-05-28,620916
2009-05-29,642929
2009-05-30,423053
2009-05-31,359005
2009-06-01,360218
2009-06-02,610268
2009-06-03,613577
2009-06-04,612779
2009-06-05,628368
2009-06-06,446429
2009-06-07,361001
2009-06-08,590214
2009-06-09,598471
2009-06-10,641707
2009-06-11,305025
2009-06-12,521332
2009-06-13,406848
2009-06-14,378560
2009-06-15,589479
2009-06-16,598611
2009-06-17,607035
2009-06-18,615414
2009-06-19,633589
2009-06-20,418516
2009-06-21,359714
2009-06-22,596847
2009-06-23,603502
2009-06-24,618948
2009-06-25,628321
2009-06-26,631591
2009-06-27,413334
2009-06-28,376184
2009-06-29,605944
2009-06-30,616175
2009-07-01,622098
2009-07-02,619976
2009-07-03,623895
2009-07-04,420431
2009-07-05,369028
2009-07-06,574806
2009-07-07,576355
2009-07-08,583864
2009-07-09,587960
2009-07-10,600792
2009-07-11,399054
2009-07-12,343989
2009-07-13,556898
2009-07-14,564862
2009-07-15,575013
2009-07-16,582796
2009-07-17,595312
2009-07-18,413632
2009-07-19,359583
2009-07-20,564657
2009-07-21,567411
2009-07-22,575175
2009-07-23,581580
2009-07-24,608018
2009-07-25,428967
2009-07-26,401288
2009-07-27,553437
2009-07-28,563151
2009-07-29,568558
2009-07-30,575903
2009-07-31,599759
2009-08-01,420747
2009-08-02,361186
2009-08-03,568710
2009-08-04,575064
2009-08-05,573065
2009-08-06,574837
2009-08-07,584410
2009-08-08,401210
2009-08-09,369983
