TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4807;5090;05;A;  59;150101; 4;s;01;   83;-;  101;-;    1;-;    1;-;   82;-;   79;-;    3;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  100;-;   98;-;    2;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;150101; 4;s;02;  228;-;  253;-;    0;-;    2;-;  228;-;  223;-;    4;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  251;-;  245;-;    6;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;03;  226;-;  191;-;    0;-;    1;-;  226;-;  220;-;    6;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  190;-;  186;-;    4;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;04;  261;-;  238;-;    0;-;    0;-;  260;-;  255;-;    5;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;  238;-;  234;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;05;  152;-;  181;-;    0;-;    0;-;  152;-;  150;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  181;-;  176;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;06;  147;-;  173;-;    1;-;    2;-;  146;-;  144;-;    1;-;    1;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;  171;-;  167;-;    4;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;07;  112;-;  123;-;    1;-;    1;-;  111;-;  108;-;    3;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  122;-;  116;-;    6;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;08;   67;-;   77;-;    2;-;    1;-;   65;-;   59;-;    4;-;    2;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;   76;-;   71;-;    5;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;150101; 4;s;09;   63;-;   67;-;    1;-;    4;-;   62;-;   58;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;   63;-;   61;-;    2;-;    0;-;    0;-;    2;-;    1;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;150101; 4;s;10;  138;-;  112;-;    2;-;    3;-;  136;-;  130;-;    6;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  109;-;  101;-;    8;-;    0;-;    0;-;    0;-;    1;-;    2;-;    2;-;    0;-
