Datum,Tmin,Tmit,Tmax,Sges,Rges,Tbod,RFmin,RFmit,RFmax,Wmit,WBmax
01.01.2016,"2,7","5,5","7,7","0,6","0,0",1,82,"91,6",100,8,41
02.01.2016,"4,1","4,8","6,1",0,"2,7","3,7",82,"89,1",97,18,48
03.01.2016,"4,6","5,9","7,8",0,"8,6","3,9",80,"91,7",100,14,44
04.01.2016,"2,5","4,9","7,2",0,"1,8","2,4",94,"98,5",100,9,46
05.01.2016,"5,7","6,8","8,8","0,8","0,3","5,3",80,"89,5",98,8,30
06.01.2016,"5,5","6,2","7,7","0,1","3,3","4,5",90,"96,6",100,7,19
07.01.2016,"4,6","5,8","7,8","0,3","6,6","4,3",78,"91,8",100,16,56
08.01.2016,"1,4","4,8","8,8",7,"0,0","-1,5",69,"81,5",95,10,44
09.01.2016,"2,3","4,5","7,5","5,5","4,5","1,6",79,"88,2",94,12,37
10.01.2016,"5,1",7,"9,9","5,1","0,3","3,4",64,"84,1",95,14,52
11.01.2016,"3,1","5,1","7,1",0,"5,3","0,6",89,"94,9",99,11,37
12.01.2016,"5,2","6,2","8,2","1,5","2,3",4,74,"84,3",93,12,43
13.01.2016,"2,2","4,9","6,6","0,6","1,5","0,8",87,91,95,13,48
14.01.2016,"1,1","2,8","4,1",0,"4,7","0,2",85,"90,9",97,14,48
15.01.2016,"1,3","2,6","3,5",0,"0,7","0,7",79,91,97,14,48
16.01.2016,"-0,4","1,8",4,"0,7","0,3","-1,9",81,"89,8",100,12,50
17.01.2016,"-4,4","-0,2","2,7","2,9","0,0","-6,9",66,"84,5",99,9,37
18.01.2016,"-5,4","-2,7",1,"7,2","0,0","-8,2",60,"82,1",100,8,28
19.01.2016,"-6,2","-3,7",-1,"7,7","0,0","-6,7",73,"82,9",89,8,28
20.01.2016,"-3,1","-0,4",3,1,"0,0",-3,73,"84,6",93,6,24
21.01.2016,"-0,8","1,2",4,"2,7","0,0",-2,76,"87,1",95,6,26
22.01.2016,"-2,7","-0,3","2,1","5,8","4,0","-3,1",68,"83,1",100,16,44
23.01.2016,"0,9","5,4","7,4",0,"0,0","0,9",89,"97,5",100,7,22
24.01.2016,"3,9","5,8",8,0,"1,4","3,2",89,"95,2",100,9,28
25.01.2016,"7,9","10,3","14,2","6,3","0,0","7,3",70,85,100,10,35
26.01.2016,9,"10,3","12,2",0,"0,5","7,5",68,"84,1",99,11,44
27.01.2016,"9,7","11,2",13,0,"4,6",9,71,"80,6",92,16,52
28.01.2016,"1,1","6,4","9,8","7,2","0,0","-1,4",63,"84,9",99,9,35
29.01.2016,"1,6","7,1","9,9","0,1","0,4",-1,77,"82,3",95,16,56
