TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4907;5007;05;A;  59;070101; 1;s;01;  127;-;  129;-;    2;-;    0;-;  124;-;  121;-;    3;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    1;-;  129;-;  126;-;    2;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;02;  386;-;  270;-;    0;-;    1;-;  386;-;  373;-;   13;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  269;-;  259;-;   10;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;03;  361;-;  269;-;    1;-;    1;-;  360;-;  348;-;   12;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;  268;-;  260;-;    8;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;04;  234;-;  219;-;    0;-;    0;-;  234;-;  231;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  218;-;  216;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
4907;5007;05;A;  59;070101; 1;s;05;  194;-;  215;-;    1;-;    2;-;  192;-;  181;-;   11;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;  213;-;  198;-;   14;-;    1;-;    0;-;    0;-;    0;-;    2;-;    1;-;    0;-
4907;5007;05;A;  59;070101; 1;s;06;  160;-;  152;-;    0;-;    0;-;  160;-;  153;-;    6;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  151;-;  143;-;    8;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;07;  102;-;  120;-;    1;-;    0;-;  101;-;   96;-;    5;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  120;-;  116;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;08;   59;-;   85;-;    0;-;    2;-;   59;-;   55;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   83;-;   76;-;    7;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-
4907;5007;05;A;  59;070101; 1;s;09;   79;-;   95;-;    1;-;    6;-;   76;-;   72;-;    4;-;    0;-;    2;-;    0;-;    0;-;    1;-;    1;-;    0;-;   89;-;   85;-;    3;-;    1;-;    0;-;    3;-;    2;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;070101; 1;s;10;   90;-;  117;-;    4;-;    0;-;   86;-;   83;-;    3;-;    0;-;    0;-;    0;-;    3;-;    1;-;    1;-;    0;-;  117;-;  108;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4907;5007;05;A;  59;070101; 1;s;11;  141;-;  227;-;    2;-;    2;-;  137;-;  129;-;    8;-;    0;-;    2;-;    0;-;    0;-;    2;-;    1;-;    0;-;  223;-;  214;-;    9;-;    0;-;    1;-;    0;-;    0;-;    2;-;    2;-;    1;-
4907;5007;05;A;  59;070101; 1;s;12;  269;-;  381;-;    5;-;    5;-;  262;-;  246;-;   15;-;    1;-;    1;-;    0;-;    1;-;    4;-;    4;-;    1;-;  373;-;  349;-;   24;-;    0;-;    1;-;    1;-;    0;-;    4;-;    4;-;    2;-
4907;5007;05;A;  59;070101; 1;s;13;  509;-;  636;-;    6;-;    5;-;  501;-;  473;-;   27;-;    1;-;    2;-;    1;-;    4;-;    1;-;    1;-;    0;-;  627;-;  595;-;   30;-;    2;-;    2;-;    2;-;    1;-;    2;-;    2;-;    2;-
4907;5007;05;A;  59;070101; 1;s;14;  667;-;  687;-;    3;-;    2;-;  662;-;  634;-;   26;-;    2;-;    1;-;    0;-;    0;-;    3;-;    1;-;    1;-;  681;-;  661;-;   19;-;    1;-;    1;-;    1;-;    0;-;    1;-;    0;-;    3;-
4907;5007;05;A;  59;070101; 1;s;15;  831;-;  748;-;   11;-;    2;-;  816;-;  778;-;   38;-;    0;-;    0;-;    0;-;    5;-;    6;-;    4;-;    4;-;  740;-;  708;-;   31;-;    1;-;    3;-;    0;-;    2;-;    0;-;    0;-;    3;-
4907;5007;05;A;  59;070101; 1;s;16;  887;-;  744;-;    8;-;    6;-;  876;-;  829;-;   47;-;    0;-;    2;-;    0;-;    6;-;    2;-;    2;-;    1;-;  738;-;  714;-;   24;-;    0;-;    0;-;    0;-;    5;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;070101; 1;s;17;  892;-;  705;-;    5;-;    6;-;  882;-;  827;-;   52;-;    3;-;    1;-;    1;-;    1;-;    3;-;    3;-;    4;-;  697;-;  662;-;   33;-;    2;-;    0;-;    1;-;    4;-;    1;-;    0;-;    2;-
4907;5007;05;A;  59;070101; 1;s;18;  792;-;  648;-;    7;-;    1;-;  778;-;  736;-;   42;-;    0;-;    3;-;    0;-;    5;-;    2;-;    2;-;    4;-;  646;-;  612;-;   34;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-
4907;5007;05;A;  59;070101; 1;s;19;  745;-;  483;-;    2;-;    2;-;  740;-;  696;-;   44;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    3;-;  481;-;  454;-;   27;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-
4907;5007;05;A;  59;070101; 1;s;20;  596;-;  465;-;    4;-;    5;-;  585;-;  524;-;   61;-;    0;-;    2;-;    0;-;    1;-;    3;-;    2;-;    5;-;  459;-;  434;-;   25;-;    0;-;    1;-;    1;-;    2;-;    2;-;    2;-;    0;-
4907;5007;05;A;  59;070101; 1;s;21;  467;-;  375;-;    4;-;    4;-;  461;-;  432;-;   29;-;    0;-;    0;-;    2;-;    1;-;    1;-;    1;-;    2;-;  370;-;  344;-;   26;-;    0;-;    1;-;    0;-;    3;-;    1;-;    1;-;    0;-
4907;5007;05;A;  59;070101; 1;s;22;  394;-;  227;-;    4;-;   11;-;  388;-;  356;-;   32;-;    0;-;    0;-;    0;-;    3;-;    1;-;    1;-;    2;-;  214;-;  196;-;   17;-;    1;-;    0;-;    2;-;    1;-;    8;-;    8;-;    2;-
4907;5007;05;A;  59;070101; 1;s;23;  326;-;  189;-;    8;-;   22;-;  316;-;  284;-;   32;-;    0;-;    1;-;    0;-;    5;-;    3;-;    3;-;    1;-;  167;-;  157;-;   10;-;    0;-;    0;-;    2;-;    0;-;   20;-;   16;-;    0;-
4907;5007;05;A;  59;070101; 1;s;24;  163;-;  126;-;    7;-;   11;-;  155;-;  145;-;   10;-;    0;-;    0;-;    0;-;    1;-;    6;-;    5;-;    1;-;  115;-;  102;-;   13;-;    0;-;    0;-;    0;-;    2;-;    9;-;    5;-;    0;-
4907;5007;05;A;  59;070102; 2;u;01;   98;-;   74;-;    7;-;    8;-;   91;-;   82;-;    9;-;    0;-;    0;-;    0;-;    1;-;    6;-;    5;-;    0;-;   66;-;   60;-;    5;-;    1;-;    0;-;    0;-;    0;-;    8;-;    5;-;    0;-
4907;5007;05;A;  59;070102; 2;u;02;   61;-;   53;-;   12;-;    5;-;   48;-;   41;-;    7;-;    0;-;    0;-;    0;-;    1;-;   11;-;    8;-;    1;-;   48;-;   42;-;    6;-;    0;-;    0;-;    0;-;    0;-;    5;-;    5;-;    0;-
