TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4807;5090;05;A;  59;160101; 5;s;01;  150;-;  137;-;    0;-;    0;-;  150;-;  141;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  137;-;  131;-;    5;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;02;  363;-;  413;-;    0;-;    0;-;  363;-;  359;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  412;-;  393;-;   18;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;03;  366;-;  387;-;    2;-;    2;-;  363;-;  355;-;    8;-;    0;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-;  385;-;  374;-;   11;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;04;  236;-;  260;-;    0;-;    0;-;  235;-;  225;-;    9;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;  260;-;  259;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;05;  141;-;  157;-;    0;-;    0;-;  141;-;  137;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  157;-;  147;-;   10;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;06;   91;-;  130;-;    0;-;    1;-;   91;-;   84;-;    6;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  129;-;  124;-;    5;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160101; 5;s;07;   71;-;   80;-;    1;-;    1;-;   70;-;   68;-;    2;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;   79;-;   77;-;    2;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;08;   51;-;   68;-;    0;-;    1;-;   51;-;   49;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   67;-;   64;-;    3;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;09;   50;-;   78;-;    1;-;    9;-;   49;-;   48;-;    1;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;   69;-;   66;-;    3;-;    0;-;    0;-;    7;-;    1;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160101; 5;s;10;  103;-;   99;-;    1;-;    5;-;  102;-;   98;-;    3;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;   94;-;   91;-;    3;-;    0;-;    0;-;    3;-;    1;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160101; 5;s;11;  163;-;  189;-;    2;-;    8;-;  161;-;  151;-;    8;-;    2;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;  180;-;  174;-;    6;-;    0;-;    1;-;    5;-;    3;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;12;  318;-;  348;-;    1;-;    8;-;  317;-;  307;-;    8;-;    2;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  340;-;  328;-;   11;-;    1;-;    0;-;    4;-;    2;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160101; 5;s;13;  459;-;  506;-;    4;-;    7;-;  454;-;  445;-;    8;-;    1;-;    1;-;    1;-;    2;-;    1;-;    1;-;    0;-;  498;-;  471;-;   25;-;    2;-;    1;-;    3;-;    1;-;    3;-;    3;-;    0;-
4807;5090;05;A;  59;160101; 5;s;14;  565;-;  590;-;    4;-;    5;-;  561;-;  541;-;   18;-;    2;-;    0;-;    1;-;    1;-;    2;-;    2;-;    0;-;  584;-;  563;-;   19;-;    2;-;    1;-;    2;-;    0;-;    3;-;    2;-;    0;-
4807;5090;05;A;  59;160101; 5;s;15;  736;-;  742;-;    1;-;    7;-;  734;-;  716;-;   16;-;    2;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;  734;-;  705;-;   24;-;    5;-;    1;-;    2;-;    3;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160101; 5;s;16;  626;-;  723;-;    4;-;   15;-;  620;-;  599;-;   19;-;    2;-;    2;-;    4;-;    0;-;    0;-;    0;-;    0;-;  708;-;  678;-;   26;-;    4;-;    0;-;    6;-;    1;-;    8;-;    7;-;    0;-
4807;5090;05;A;  59;160101; 5;s;17;  664;-;  696;-;    7;-;   13;-;  656;-;  636;-;   15;-;    5;-;    1;-;    3;-;    4;-;    0;-;    0;-;    0;-;  683;-;  663;-;   20;-;    0;-;    0;-;    2;-;    9;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160101; 5;s;18;  610;-;  694;-;    6;-;    6;-;  604;-;  582;-;   20;-;    2;-;    0;-;    2;-;    2;-;    2;-;    2;-;    0;-;  687;-;  662;-;   24;-;    1;-;    1;-;    2;-;    0;-;    4;-;    4;-;    0;-
4807;5090;05;A;  59;160101; 5;s;19;  558;-;  486;-;    5;-;    4;-;  552;-;  529;-;   20;-;    3;-;    1;-;    5;-;    0;-;    0;-;    0;-;    0;-;  481;-;  470;-;   11;-;    0;-;    1;-;    3;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;20;  473;-;  439;-;    4;-;    1;-;  469;-;  452;-;   14;-;    3;-;    0;-;    4;-;    0;-;    0;-;    0;-;    0;-;  438;-;  430;-;    7;-;    1;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-
4807;5090;05;A;  59;160101; 5;s;21;  326;-;  320;-;    3;-;    3;-;  321;-;  317;-;    4;-;    0;-;    2;-;    2;-;    0;-;    1;-;    1;-;    0;-;  317;-;  308;-;    9;-;    0;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160101; 5;s;22;  277;-;  250;-;    5;-;    5;-;  270;-;  264;-;    6;-;    0;-;    2;-;    5;-;    0;-;    0;-;    0;-;    0;-;  245;-;  236;-;    9;-;    0;-;    0;-;    1;-;    2;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160101; 5;s;23;  220;-;  236;-;    7;-;    4;-;  213;-;  204;-;    8;-;    1;-;    0;-;    5;-;    1;-;    1;-;    1;-;    0;-;  232;-;  226;-;    6;-;    0;-;    0;-;    1;-;    1;-;    2;-;    1;-;    0;-
4807;5090;05;A;  59;160101; 5;s;24;  136;-;  169;-;    2;-;    2;-;  134;-;  130;-;    3;-;    1;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;  167;-;  161;-;    6;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160102; 6;u;01;   94;-;   96;-;    0;-;    4;-;   94;-;   91;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   92;-;   88;-;    4;-;    0;-;    0;-;    2;-;    0;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160102; 6;u;02;   68;-;   91;-;    2;-;    1;-;   65;-;   62;-;    2;-;    1;-;    1;-;    0;-;    2;-;    0;-;    0;-;    0;-;   90;-;   86;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160102; 6;u;03;   51;-;   66;-;    5;-;    3;-;   44;-;   39;-;    5;-;    0;-;    2;-;    1;-;    3;-;    1;-;    1;-;    0;-;   63;-;   54;-;    9;-;    0;-;    0;-;    0;-;    0;-;    3;-;    1;-;    0;-
4807;5090;05;A;  59;160102; 6;u;04;   52;-;   56;-;    6;-;    5;-;   44;-;   38;-;    4;-;    2;-;    2;-;    1;-;    3;-;    2;-;    2;-;    0;-;   51;-;   47;-;    4;-;    0;-;    0;-;    0;-;    1;-;    4;-;    4;-;    0;-
4807;5090;05;A;  59;160102; 6;u;05;   86;-;   80;-;    5;-;   16;-;   79;-;   69;-;    7;-;    3;-;    2;-;    0;-;    5;-;    0;-;    0;-;    0;-;   64;-;   61;-;    3;-;    0;-;    0;-;    0;-;    5;-;   11;-;   11;-;    0;-
4807;5090;05;A;  59;160102; 6;u;06;  152;-;  141;-;   13;-;   23;-;  134;-;  122;-;    9;-;    3;-;    5;-;    0;-;   10;-;    3;-;    2;-;    0;-;  117;-;  109;-;    8;-;    0;-;    1;-;    2;-;   10;-;   11;-;   10;-;    0;-
4807;5090;05;A;  59;160102; 6;u;07;  169;-;  151;-;    9;-;   26;-;  158;-;  145;-;   12;-;    1;-;    2;-;    3;-;    4;-;    2;-;    1;-;    0;-;  124;-;  107;-;   17;-;    0;-;    1;-;    3;-;    9;-;   14;-;   14;-;    0;-
4807;5090;05;A;  59;160102; 6;u;08;  187;-;  193;-;    7;-;   35;-;  179;-;  161;-;   14;-;    4;-;    1;-;    0;-;    6;-;    1;-;    1;-;    0;-;  155;-;  143;-;   11;-;    1;-;    3;-;    7;-;   10;-;   18;-;   17;-;    0;-
4807;5090;05;A;  59;160102; 6;u;09;  337;-;  266;-;   11;-;   29;-;  326;-;  305;-;   16;-;    5;-;    0;-;    3;-;    8;-;    0;-;    0;-;    0;-;  236;-;  217;-;   19;-;    0;-;    1;-;    5;-;   15;-;    9;-;    7;-;    0;-
4807;5090;05;A;  59;160102; 6;u;10;  608;-;  482;-;    2;-;   28;-;  604;-;  574;-;   25;-;    5;-;    2;-;    1;-;    1;-;    0;-;    0;-;    0;-;  452;-;  423;-;   28;-;    1;-;    2;-;   10;-;    8;-;   10;-;    9;-;    0;-
4807;5090;05;A;  59;160102; 6;u;11;  833;-;  697;-;   10;-;   27;-;  816;-;  776;-;   36;-;    4;-;    7;-;    2;-;    4;-;    4;-;    2;-;    0;-;  667;-;  630;-;   37;-;    0;-;    3;-;    5;-;   12;-;   10;-;    9;-;    0;-
4807;5090;05;A;  59;160102; 6;u;12; 1052;-;  931;-;    8;-;   16;-; 1035;-;  993;-;   39;-;    3;-;    9;-;    1;-;    6;-;    1;-;    1;-;    0;-;  911;-;  860;-;   51;-;    0;-;    4;-;    2;-;    7;-;    7;-;    5;-;    0;-
4807;5090;05;A;  59;160102; 6;u;13; 1127;-; 1107;-;    9;-;    8;-; 1110;-; 1066;-;   40;-;    4;-;    8;-;    1;-;    7;-;    1;-;    1;-;    0;-; 1093;-; 1045;-;   43;-;    5;-;    6;-;    3;-;    3;-;    2;-;    2;-;    0;-
4807;5090;05;A;  59;160102; 6;u;14; 1252;-; 1271;-;   11;-;   17;-; 1236;-; 1182;-;   47;-;    7;-;    5;-;    3;-;    6;-;    2;-;    2;-;    0;-; 1250;-; 1202;-;   47;-;    1;-;    4;-;    4;-;    7;-;    6;-;    4;-;    0;-
4807;5090;05;A;  59;160102; 6;u;15; 1215;-; 1317;-;   10;-;   14;-; 1199;-; 1158;-;   37;-;    4;-;    6;-;    2;-;    8;-;    0;-;    0;-;    0;-; 1298;-; 1256;-;   41;-;    1;-;    5;-;    2;-;    9;-;    3;-;    2;-;    0;-
4807;5090;05;A;  59;160102; 6;u;16; 1018;-; 1273;-;    5;-;   12;-; 1009;-;  966;-;   38;-;    5;-;    4;-;    2;-;    2;-;    1;-;    0;-;    0;-; 1254;-; 1213;-;   38;-;    3;-;    7;-;    4;-;    4;-;    4;-;    4;-;    0;-
4807;5090;05;A;  59;160102; 6;u;17; 1050;-; 1155;-;    3;-;    8;-; 1044;-; 1002;-;   36;-;    6;-;    3;-;    1;-;    2;-;    0;-;    0;-;    0;-; 1143;-; 1097;-;   43;-;    3;-;    4;-;    3;-;    4;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160102; 6;u;18;  949;-; 1074;-;   11;-;   14;-;  935;-;  893;-;   40;-;    2;-;    3;-;    8;-;    3;-;    0;-;    0;-;    0;-; 1058;-; 1027;-;   28;-;    3;-;    2;-;    4;-;    6;-;    4;-;    4;-;    0;-
4807;5090;05;A;  59;160102; 6;u;19;  804;-; 1010;-;    2;-;    9;-;  799;-;  782;-;   14;-;    3;-;    3;-;    2;-;    0;-;    0;-;    0;-;    0;-;  996;-;  969;-;   26;-;    1;-;    5;-;    5;-;    4;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160102; 6;u;20;  701;-;  845;-;   10;-;    4;-;  690;-;  665;-;   21;-;    4;-;    1;-;    5;-;    3;-;    2;-;    2;-;    0;-;  840;-;  810;-;   27;-;    3;-;    1;-;    1;-;    1;-;    2;-;    1;-;    0;-
4807;5090;05;A;  59;160102; 6;u;21;  484;-;  655;-;    8;-;    5;-;  475;-;  460;-;   14;-;    1;-;    1;-;    8;-;    0;-;    0;-;    0;-;    0;-;  646;-;  625;-;   21;-;    0;-;    4;-;    3;-;    2;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160102; 6;u;22;  409;-;  418;-;    3;-;    0;-;  404;-;  389;-;   14;-;    1;-;    2;-;    2;-;    0;-;    1;-;    1;-;    0;-;  415;-;  401;-;   14;-;    0;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160102; 6;u;23;  325;-;  417;-;    5;-;    3;-;  320;-;  311;-;    9;-;    0;-;    0;-;    3;-;    0;-;    2;-;    2;-;    0;-;  414;-;  401;-;   13;-;    0;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-
4807;5090;05;A;  59;160102; 6;u;24;  371;-;  279;-;    4;-;    4;-;  365;-;  357;-;    7;-;    1;-;    2;-;    3;-;    1;-;    0;-;    0;-;    0;-;  275;-;  264;-;   10;-;    1;-;    0;-;    3;-;    1;-;    0;-;    0;-;    0;-
4807;5090;05;A;  59;160103; 7;s;01;  238;-;  222;-;    5;-;    1;-;  232;-;  229;-;    3;-;    0;-;    1;-;    2;-;    2;-;    1;-;    1;-;    0;-;  221;-;  219;-;    2;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
